ShuntNumber,ShuntName,PnaShunt,PssShunt,NspShunt,SectionNumber,Type,SusceptanceStepSize,SusceptanceAtMinBankOutput,SusceptanceAtMaxBankOutput,ConductanceAtMinBankOutput,ConductanceAtMaxBankOutput,LocalControlTuningFactor,ControlSectionNumber,HighControlLimit,LowControlLimit,MinShiftWeightFactor,MinShiftTarget,LocalControlStatus,OptimizationStatus,MwInversion,MwMeasOverrideStatus,MwReplacementValue,CmeMwUsage,MvInversion,MvMeasOverrideStatus,MvReplacementValue,CmeMvUsage,ControlDelay,FlaShuntZeroSeqSusc,FlaShuntZeroSeqCond,AssetLabel,DefaultMwSchedule,DefaultMvSchedule,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,CommentText1,CommentText2,CommentText3,ShuntResponseLeadTime,ShuntResponseRateOfIncrease,ShuntResponseRateOfDecrease,ConnectionStatusIndicatorRef,BusNumberRef,ControlBusNumberRef,MwTelemetryRef,MvTelemetryRef,MwStandardDeviation,MwInversionFlag,MwCmeUsage,MwOverrideStatus,Mw_ReplacementValue,SetOrder4,MwAnalogPointRef,MwCtBreakerRef,MvStandardDeviation,MvInversionFlag,MvCmeUsage,MvOverrideStatus,Mv_ReplacementValue,SetOrder5,MvAnalogPointRef,MvCtBreakerRef,AmpStandardDeviation,AmpInversionFlag,AmpCmeUsage,AmpOverrideStatus,Amp_ReplacementValue,SetOrder7,AmpAnalogPointRef,AmpCtBreakerRef,ShuntSwitchName,NormalControlSwitchState,NormalIsolatorSwitchState,DefaultControlSwitchState,DefaultIsolatorSwitchState,IsolatorScadaOpenState,IsolatorScadaCloseState,CntlBrkrScadaOpenState,CntlBrkrScadaCloseState,SetOrder8,ControlSwitchStatusTelemetryRef,IsolatorSwitchStatusTelemetryRef,ControlSwitchStateTransition,IsolatorSwitchStateTransition,HighMVArLimitRef,LowMVArLimitRef,LeadingMVArReservesRef,LaggingMVArReservesRef,ControlModeTelemetryRef,SinglePhTransCurRef,SinglePhSubtransCurRef,ThreePhTransCurRef,ThreePhSubtransCurRef,
1039,NAROD CAP 1,No,Yes,Yes,133,Variable,6,0,6,0,0,1,133,13.0935,12.0959,1,0,OnInBaseCaseAndCa,On,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,6,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,325562,1532,1532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,2977,184162,NULL,NO.1 CAPS SW,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,226622,NULL,1,NULL,NULL,NULL,NULL,NULL,226629,NULL,NULL,NULL,NULL,
1040,NAROD CAP 2,No,Yes,Yes,135,Variable,5.85,0,5.85,0,0,1,135,13.0935,12.0959,1,0,OnInBaseCaseAndCa,On,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,5.85,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,325563,1532,1532,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,2978,184163,NULL,NO.2 CAPS SW,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,226623,NULL,1,NULL,NULL,NULL,NULL,NULL,226630,NULL,NULL,NULL,NULL,
1041,ONTARIO CAP 1,No,Yes,Yes,119,Variable,1.8,0,1.8,0,0,1,119,4.2,3.88,1,0,OnInBaseCaseAndCa,On,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,1.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,325564,1534,1534,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,3104,204152,NULL,1 CAPS CB,Open,NULL,Open,NULL,NULL,NULL,0,1,1,33960,NULL,1,NULL,NULL,NULL,NULL,NULL,33962,NULL,NULL,NULL,NULL,
1058,QUARTZ HILL CAP 1A,No,Yes,Yes,119,Fixed,3.6,0,3.6,0,0,1,119,13.23,12.222,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,3.6,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,323758,1548,1548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,2983,63400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1059,QUARTZ HILL CAP 1B,No,Yes,Yes,120,Fixed,3.6,0,3.6,0,0,1,120,13.23,12.222,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,3.6,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,323759,1548,1548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,2984,63401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1500,DEL AMO CAP 5,No,Yes,Yes,119,Variable,4.8,0,4.8,0,0,1,119,12.6,11.64,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,0,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,321811,4004,4004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,7,225438,NULL,NO 3 CAP SW,Closed,NULL,Closed,NULL,NULL,NULL,0,1,1,168336,NULL,1,NULL,NULL,NULL,NULL,NULL,288966,NULL,NULL,NULL,NULL,
1501,DEL AMO CAP 8,No,Yes,Yes,116,Variable,4.8,0,4.8,0,0,1,116,12.6,11.64,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,0,4.8,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,321812,4004,4004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,225442,NULL,NO.8 CAP CB,Closed,NULL,Closed,NULL,NULL,NULL,0,1,1,288969,NULL,1,NULL,NULL,NULL,NULL,NULL,288971,NULL,NULL,NULL,NULL,
1510,DOWNEY CAP 1,No,Yes,Yes,601,Variable,1.5,0,1.5,0,0,1,999,4.578,4.2292,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,1.5,Yes,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,326508,4013,4013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,218643,NULL,NO.1 CAP CB,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,271815,NULL,1,NULL,NULL,NULL,NULL,NULL,271817,NULL,NULL,NULL,NULL,
1511,DOWNEY CAP 2,No,Yes,Yes,612,Variable,1.5,0,1.5,0,0,1,997,4.578,4.2292,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,1.5,Yes,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,326509,4013,4013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,+,Out,Block,NULL,1,218647,NULL,NO.2 CAP CB,Open,NULL,Open,NULL,NULL,NULL,0,1,8,271820,NULL,1,NULL,NULL,NULL,NULL,NULL,271822,NULL,NULL,NULL,NULL,
1519,PIUTE CAP 2,No,Yes,Yes,611,Variable,2.4,0,2.4,0,0,1,998,13.0935,12.0959,1,0,Off,Off,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,NULL,NULL,NULL,NULL,2.4,Yes,NULL,Yes,NULL,NULL,NULL,NULL,NULL,NULL,329828,4026,4026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,+,In/Out,Normal,NULL,1,226517,NULL,10,+,Out,Block,NULL,1,226519,NULL,PIUTE CAP BK 12KV CB,Closed,NULL,Closed,NULL,NULL,NULL,0,1,8,70496,NULL,1,NULL,NULL,NULL,NULL,NULL,70497,NULL,NULL,NULL,NULL,
