PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
30,LUCAS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5771,9,
31,SOMERSET,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5754,9,
32,HEDDA,No,Yes,NULL,Inside,Yes,NULL,Yes,5784,9,
35,GREENING,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5791,9,
37,CYPRESS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5837,9,
38,CORNUTA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5723,9,
40,BOVINE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5788,9,
41,BOOST,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5717,9,
42,DEL_AMO_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,9,
43,ERIC,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5783,9,
44,LAKEWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5733,9,
88,MURPHY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5812,6,
89,PIONEER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5886,6,
90,STEWART,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5852,6,
91,SANTA_FE_SPRINGS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5850,6,
92,SPONGE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5857,6,
93,SIGGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5132,6,
95,PROCAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5147,6,
97,NIETOS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5160,6,
98,CENTER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5084,6,
100,IMPERIAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5772,6,
101,GALLATIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5823,6,
102,DOUGOIL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5782,6,
103,CENTER_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,6,
104,PASSONS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5893,6,
128,DOWNEY_MED,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5299,6,
145,WESTHILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5278,7,
146,CHEVGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5283,7,
147,LOSULFUR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5261,7,
148,CHEVMAIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8063,7,
191,BAILEY_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,3,
194,CHEVCENTRAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5295,7,
205,CARMENITA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5814,9,
207,DUGAS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
213,HARRY_ALLEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
221,PURIFY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5422,2,
232,SPARKLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8513,2,
314,DEL_MAR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5293,7,
319,SKIP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0239,4,
383,CIMGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5685,8,
385,FRANCIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5639,8,
386,FIREHOUSE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5618,8,
387,DIAMOND_BAR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5680,8,
390,CHINO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5062,8,
394,CHINO_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,8,
397,TROPHY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5603,8,
398,GANESHA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5617,8,
399,SOQUEL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5686,8,
400,SOPIPE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5149,8,
401,SIMPSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5690,8,
402,SANIGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5194,8,
403,PLASTIC,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5609,8,
404,PEYTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5614,8,
406,NAROD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5648,8,
564,NEENACH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5556,3,
565,WESTPAC,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5591,3,
567,FRAZIER_PARK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8505,3,
569,ALAMO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,4006,3,
570,BAILEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5059,3,
571,GORMAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5512,3,
572,OSO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,9119,3,
584,ROSAMOND,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5541,2,
585,PALMDALE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5564,2,
586,OASIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5548,2,
588,PIUTE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5545,2,
589,REDMAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5530,2,
590,QUARTZ_HILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5566,2,
591,SHUTTLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5522,2,
592,WILSONA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5567,2,
593,CRYSTAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
594,YAVAPAI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
595,HASSAYAMPA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
596,BOREL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2314,2,
600,ANTELOPE_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,2,
602,ANTELOPE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5052,2,
603,ACTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5365,2,
604,ANAVERDE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5539,2,
607,GREAT_LAKES,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5561,2,
609,TORTOISE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5462,2,
610,DEL_SUR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5508,2,
611,HELIJET,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5599,2,
612,ROCKAIR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5688,2,
613,LITTLE_ROCK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5518,2,
614,LANCASTER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5514,2,
615,LANPRI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5362,2,
638,PLAINVIEW,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0155,2,
716,WARNE_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,5,
717,PEARBLOSSOM,Yes,Yes,NULL,Inside,Yes,NULL,Yes,4004,5,
718,EDMONSTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,4002,5,
719,WARNE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5038,5,
734,KIMBALL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5176,8,
758,APS_MORGAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
761,HOODOOWASH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
764,MOENKOPI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5092,65,
765,PALO_VERDE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5097,65,
766,NAVAJO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,4201,65,
767,GRAND_CROSSING,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5189,8,
769,WESTWING,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
770,FOUR_CORNERS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,1330,65,
783,N_GILA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
793,RITEAID,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5463,2,
799,CEDAR_MOUNT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
811,PERKINS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
828,GLOW,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8511,2,
838,ALPINE_SOLAR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0114,3,
873,DAWN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0140,2,
874,TWILIGHT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0162,2,
890,BERRENDO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0160,2,
917,SOLARIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0169,2,
941,PEARBLOS_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,5,
949,BIXBY,No,No,NULL,Inside,Yes,NULL,Yes,5707,1,
965,BIG_SKY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0176,2,
966,DELANEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
967,SUN_VALLEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
972,GOLDFINGER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0168,2,
973,EDINGER,No,Yes,NULL,Inside,Yes,NULL,Yes,5875,1,
974,CEDARWOOD,No,Yes,NULL,Inside,Yes,NULL,Yes,5859,4,
978,BASTA,No,Yes,NULL,Inside,Yes,NULL,Yes,5883,4,
992,WOODRUFF,No,No,NULL,Inside,Yes,NULL,Yes,NULL,9,
1006,ONTARIO,No,Yes,NULL,Inside,Yes,NULL,Yes,5625,8,
1012,CHEVMAIN_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,7,
1018,CRYSTAL_CAPS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,65,
1021,RITTER_RANCH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8504,2,
1059,BELMONT,No,No,NULL,Inside,Yes,NULL,Yes,5706,1,
1079,FLORADAY,No,No,NULL,Inside,Yes,NULL,Yes,5898,6,
1301,DOWNEY,No,Yes,NULL,Inside,Yes,NULL,Yes,5820,6,
1362,POMONA,No,No,NULL,Inside,Yes,NULL,Yes,5627,8,
