CID,LimitsSetNumber,StateFeatureGroupSet,RaiseLwrStateGroupSet,ControlStateGroupSet,IndicationStateGroupSet,StateControlSet,LPID,StationNumber,Visible_POR_GUI,AbbrStationName,StationName,AccessArea,AccessZone,AOR,DevXref.AssetID,DevXref.DeviceName,VendorTypeName,DeviceUsageType,ModelTypeName,Dev.DeviceName,Dev.StructureName,OMSStructureNumber,OMSLineDeviceNumber,LoadDropDevice,DeviceAttribute,DevXref.GroupName,DevXref.Description,DevXref.SerialNumber,DevXref.High_Node,DevXref.Low_Node,DevXref.RDF_ID,ComponentAlias,ComponentTypeName,Point.MRID,Comp.PhaseCode,Comp.Attachment,Comp.AssocDir,MeasurementType,ComponentStorageType,PointNumber,PointName,IsIndication,ManualEntry,InitialValue,SetNonUpdate,Unit,IsControl,IsRaiseLwr,EventsEnabled,AlarmProfileName:AlarmClass,AlarmProfileNumber:ClassNumber,HighReasonabilityLmt,LowReasonabilityLmt,END,I_StateNames,C_StateNames,RL_StateNames,NrmAbrnml_States,Limit_Name|Limit_Number|High_Limit_1|Low_Limit_1|High_Limit_2|Low_Limit_2|High_Limit_3|Low_Limit_3|High_Limit_4|Low_Limit_4,StateNumber:Command:OperateTime:DesiredEndState
JOHANNA.SERIES.JOHANNA BK 8_1.IA,79732,-99,-99,-99,-99,-99,540233744,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA BK 8_1486,JOHANNA BK 8_1486,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210177,NO.8 BK 66/12KV IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|2404|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.JOHANNA BK 8_1.IB,79733,-99,-99,-99,-99,-99,540233760,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA BK 8_1486,JOHANNA BK 8_1486,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210178,NO.8 BK 66/12KV IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|2537|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.JOHANNA BK 8_1.IC,79734,-99,-99,-99,-99,-99,540233776,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA BK 8_1486,JOHANNA BK 8_1486,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT C,CURRENT,NULL,C,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210179,NO.8 BK 66/12KV IC,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|2671|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.JOHANNA BK 8_1.POWP,79736,-99,-99,-99,-99,-99,540233808,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA BK 8_1486,JOHANNA BK 8_1486,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_P,POWER_P,NULL,ABC,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210181,NO.8 BK 66/12KV MW,YES,Yes,0,Yes,MW,NO,NO,Yes,Class 2:Class 2,9:9,90,-90,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|55|-55||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.JOHANNA BK 8_1.POWQ,79737,-99,-99,-99,-99,-99,540233824,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA BK 8_1486,JOHANNA BK 8_1486,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_Q,POWER_Q,NULL,ABC,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210182,NO.8 BK 66/12KV MVAR,YES,Yes,0,Yes,MVAR,NO,NO,Yes,Class 2:Class 2,9:9,90,-90,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|45|-45||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.SERIES.IA,79726,-99,-99,-99,-99,-99,540233648,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA NO.6 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210171,NO.6 BK 66/12KV IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4000,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1506|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.SERIES.IB,79727,-99,-99,-99,-99,-99,540233664,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA NO.6 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210172,NO.6 BK 66/12KV IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4000,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1590|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.SERIES.IC,79728,-99,-99,-99,-99,-99,540233680,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA NO.6 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT C,CURRENT,NULL,C,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210173,NO.6 BK 66/12KV IC,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4000,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1674|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.SERIES.POWP,79730,-99,-99,-99,-99,-99,540233712,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA NO.6 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_P,POWER_P,NULL,ABC,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210175,NO.6 BK 66/12KV MW,YES,Yes,0,Yes,MW,NO,NO,Yes,Class 2:Class 2,9:9,60,-60,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|30|-30||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
JOHANNA.SERIES.SERIES.POWQ,79731,-99,-99,-99,-99,-99,540233728,NULL,1,JOHANNA,JOHANNA,NULL,NULL,NULL,DMS.JOHANNA NO.6 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_Q,POWER_Q,NULL,ABC,LOW_SIDE,NULL,LIG DAC Telem,AnalogPoint,210176,NO.6 BK 66/12KV MVAR,YES,Yes,0,Yes,MVAR,NO,NO,Yes,Class 2:Class 2,9:9,60,-60,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|30|-30||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
