ALESSARO.SWITCH.1021_62518.SWPS,-99,43116,-99,-99,516,-99,268829472,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1021_62518,1021_62518,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,24626,ELSWORTH NOB DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1021_62616.SWPS,-99,43607,-99,-99,516,-99,271929392,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1021_62616,1021_62616,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,218371,33KV 131,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1022_62519.SWPS,-99,43117,-99,-99,516,-99,268829488,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1022_62519,1022_62519,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,24627,ELSWORTH SOB DISC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1023_62618.SWPS,-99,43608,-99,-99,516,-99,271929408,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1023_62618,1023_62618,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,218372,33KV 133,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1024_62619.SWPS,-99,43610,-99,-99,516,-99,271929440,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1024_62619,1024_62619,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,218374,33KV 331,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1031_62523.SWPS,-99,43120,-99,-99,516,-99,268829536,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1031_62523,1031_62523,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,24630,TRINITY NOB DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1031_62620.SWPS,-99,43611,-99,-99,516,-99,271929456,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1031_62620,1031_62620,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,218375,33KV 141,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1032_62524.SWPS,-99,43121,-99,-99,516,-99,268829552,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1032_62524,1032_62524,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,24631,TRINITY SOB DISC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1033_62622.SWPS,-99,43612,-99,-99,516,-99,271929472,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1033_62622,1033_62622,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,218376,33KV 143,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
ALESSARO.SWITCH.1034_62623.SWPS,-99,43614,-99,-99,516,-99,271929504,NULL,1,ALESSANDRO,ALESSANDRO,NULL,NULL,NULL,DMS.1034_62623,1034_62623,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,218378,33KV 341,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
