CID,LimitsSetNumber,StateFeatureGroupSet,RaiseLwrStateGroupSet,ControlStateGroupSet,IndicationStateGroupSet,StateControlSet,LPID,StationNumber,Visible_POR_GUI,AbbrStationName,StationName,AccessArea,AccessZone,AOR,DevXref.AssetID,DevXref.DeviceName,VendorTypeName,DeviceUsageType,ModelTypeName,Dev.DeviceName,Dev.StructureName,OMSStructureNumber,OMSLineDeviceNumber,LoadDropDevice,DeviceAttribute,DevXref.GroupName,DevXref.Description,DevXref.SerialNumber,DevXref.High_Node,DevXref.Low_Node,DevXref.RDF_ID,ComponentAlias,ComponentTypeName,Point.MRID,Comp.PhaseCode,Comp.Attachment,Comp.AssocDir,MeasurementType,ComponentStorageType,PointNumber,PointName,IsIndication,ManualEntry,InitialValue,SetNonUpdate,Unit,IsControl,IsRaiseLwr,EventsEnabled,AlarmProfileName:AlarmClass,AlarmProfileNumber:ClassNumber,HighReasonabilityLmt,LowReasonabilityLmt,END,I_StateNames,C_StateNames,RL_StateNames,NrmAbrnml_States,Limit_Name|Limit_Number|High_Limit_1|Low_Limit_1|High_Limit_2|Low_Limit_2|High_Limit_3|Low_Limit_3|High_Limit_4|Low_Limit_4,StateNumber:Command:OperateTime:DesiredEndState
BOOST.SERIES.SERIES.IA,57425,-99,-99,-99,-99,-99,539787136,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,182264,NO.5 BK 12KV IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1340|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SERIES.SERIES.IB,57426,-99,-99,-99,-99,-99,539787152,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,182265,NO.5 BK 12KV IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1340|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SERIES.SERIES.IC,57427,-99,-99,-99,-99,-99,539787168,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT C,CURRENT,NULL,C,LOW_SIDE,NULL,MIR DAC1 Telem,AnalogPoint,182266,NO.5 BK 12KV IC,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,6000,-6000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1340|0||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SERIES.SERIES.POWP,80657,-99,-99,-99,-99,-99,538692368,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_P,POWER_P,NULL,ABC,LOW_SIDE,NULL,MIR DAC Telem,AnalogPoint,113841,4A BK LS MW,YES,Yes,0,Yes,MW,NO,NO,Yes,Class 2:Class 2,9:9,1200,-1200,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|292|-292|308|-308|336|-336|448|-448,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.101_1296.SWPS,-99,105506,-99,-99,516,-99,270320384,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.101_1296,101_1296,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117808,101,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.102_1297.SWPS,-99,105507,-99,-99,516,-99,270320400,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.102_1297,102_1297,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117809,102,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.103_1298.SWPS,-99,105508,-99,-99,516,-99,270320416,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.103_1298,103_1298,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117810,103,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.BOOST DISC_310.SWPS,-99,105510,-99,-99,516,-99,270320448,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BOOST DISC_31036,BOOST DISC_31036,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117812,BOOST DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOOST.SWITCH.BYP DISC_1299.SWPS,-99,105509,-99,-99,516,-99,270320432,NULL,1,BOOST,BOOST,NULL,NULL,NULL,DMS.BYP DISC_1299,BYP DISC_1299,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,117811,BYP DISC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.IA,36170,-99,-99,-99,-99,-99,538780720,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119363,NO.1 BK 66/12KV IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4040,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1515|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.IA,36181,-99,-99,-99,-99,-99,538780896,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.2 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119374,NO.2 BK 66/12KV IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4040,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1515|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.IB,36171,-99,-99,-99,-99,-99,538780736,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119364,NO.1 BK 66/12KV IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4040,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1515|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.IB,36182,-99,-99,-99,-99,-99,538780912,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.2 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119375,NO.2 BK 66/12KV IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4040,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1515|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.IC,36172,-99,-99,-99,-99,-99,538780752,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT C,CURRENT,NULL,C,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119365,NO.1 BK 66/12KV IC,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4040,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1515|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.IC,36183,-99,-99,-99,-99,-99,538780928,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.2 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT C,CURRENT,NULL,C,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119376,NO.2 BK 66/12KV IC,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,4040,-4000,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|1515|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.POWP,36175,-99,-99,-99,-99,-99,538780800,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_P,POWER_P,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119368,NO.1 BK 66/12KV MW,YES,Yes,0,Yes,MW,NO,NO,Yes,Class 2:Class 2,9:9,60.6,-60.6,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|30|-60||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.POWP,36186,-99,-99,-99,-99,-99,538780976,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.2 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_P,POWER_P,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119379,NO.2 BK 66/12KV MW,YES,Yes,0,Yes,MW,NO,NO,Yes,Class 2:Class 2,9:9,60.6,-60.6,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|30|-60||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.POWQ,36176,-99,-99,-99,-99,-99,538780816,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.1 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_Q,POWER_Q,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119369,NO.1 BK 66/12KV MVAR,YES,Yes,0,Yes,MVAR,NO,NO,Yes,Class 2:Class 2,9:9,60.6,-60.6,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|30|-60||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SERIES.SERIES.POWQ,36187,-99,-99,-99,-99,-99,538780992,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.BOVINE NO.2 BANK:SERIES,SERIES,SERIES,EMS,SERIES,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_Q,POWER_Q,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,119380,NO.2 BK 66/12KV MVAR,YES,Yes,0,Yes,MVAR,NO,NO,Yes,Class 2:Class 2,9:9,60.6,-60.6,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|30|-60||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH. 12KV CB_1366.SWPS,-99,106007,-99,516,254,26978,271246768,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.B.T. 12KV CB_1366, 12KV CB_1366,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,LIG DAC2 Telem,StatusPoint,175707,B.T. 12KV CB,YES,Yes,CLOSED,Yes,NOVALUE,YES,NO,Yes,Class 1:Class 1,1:1,NOVALUE,NOVALUE,END,OPEN;CLOSED,OPEN;CLOSE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,1:0:15:1;2:1:15:2
BOVINE.SWITCH. 66KV CB_1317.SWPS,-99,105910,-99,516,254,26939,271245216,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.B.T. 66KV CB_1317, 66KV CB_1317,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,LIG DAC2 Telem,StatusPoint,175610,B.T. 66KV CB,YES,Yes,CLOSED,Yes,NOVALUE,YES,NO,Yes,Class 1:Class 1,1:1,NOVALUE,NOVALUE,END,OPEN;CLOSED,OPEN;CLOSE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,1:0:15:1;2:1:15:2
BOVINE.SWITCH. LN DISC_1348.SWPS,-99,106067,-99,-99,516,-99,271247728,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.12KV B.T. LN DISC_1348, LN DISC_1348,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,175767,12KV B.T. LN DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH. OB DISC_1347.SWPS,-99,106066,-99,-99,516,-99,271247712,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.12KV B.T. OB DISC_1347, OB DISC_1347,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,175766,12KV B.T. OB DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH. TB DISC_1349.SWPS,-99,106068,-99,-99,516,-99,271247744,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.12KV B.T. TB DISC_1349, TB DISC_1349,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,175768,12KV B.T. TB DISC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH.#1 BK 66KV BUS.SWPS,-99,105817,-99,-99,516,-99,270238304,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.#1 BK 66KV BUS DISC_1300,#1 BK 66KV BUS DISC_1300,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,112678,#1 BK 66KV BUS DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH.#1 BK 66KV POS.SWPS,-99,105819,-99,-99,516,-99,270238336,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.#1 BK 66KV POS DISC_1302,#1 BK 66KV POS DISC_1302,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,112680,#1 BK 66KV POS DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH.#1 BK 66KV XFE.SWPS,-99,105842,-99,-99,516,-99,270238704,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.#1 BK 66KV XFER-B DISC_1303,#1 BK 66KV XFER-B DISC_1303,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,112703,#1 BK 66KV XFER-B DISC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH.#2 BK 66KV BUS.SWPS,-99,105830,-99,-99,516,-99,270238512,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.#2 BK 66KV BUS DISC_1312,#2 BK 66KV BUS DISC_1312,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,112691,#2 BK 66KV BUS DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH.#2 BK 66KV XFE.SWPS,-99,105833,-99,-99,516,-99,270238560,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.#2 BK 66KV XFER-B DISC_1315,#2 BK 66KV XFER-B DISC_1315,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,112694,#2 BK 66KV XFER-B DISC,YES,Yes,OPEN,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH.#2 BL 66KV POS.SWPS,-99,105832,-99,-99,516,-99,270238544,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.#2 BL 66KV POS DISC_1314,#2 BL 66KV POS DISC_1314,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,112693,#2 BL 66KV POS DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH.1 66KV CB_1320.SWPS,-99,105876,-99,516,254,26927,271244672,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.DEL AMO NO.1 66KV CB_1320,1 66KV CB_1320,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,LIG DAC2 Telem,StatusPoint,175576,DEL AMO NO.1 66KV CB,YES,Yes,CLOSED,Yes,NOVALUE,YES,NO,Yes,Class 1:Class 1,1:1,NOVALUE,NOVALUE,END,OPEN;CLOSED,OPEN;CLOSE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,1:0:15:1;2:1:15:2
BOVINE.SWITCH.1 BK 12KV BK D.SWPS,-99,106043,-99,-99,516,-99,271247344,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.NO.1 BK 12KV BK DISC_1328,1 BK 12KV BK DISC_1328,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,175743,NO.1 BK 12KV BK DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
BOVINE.SWITCH.1 BK 12KV CB_1.SWPS,-99,105924,-99,516,254,26944,271245440,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.NO.1 BK 12KV CB_1360,1 BK 12KV CB_1360,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,LIG DAC2 Telem,StatusPoint,175624,NO.1 BK 12KV CB,YES,Yes,CLOSED,Yes,NOVALUE,YES,NO,Yes,Class 1:Class 1,1:1,NOVALUE,NOVALUE,END,OPEN;CLOSED,OPEN;CLOSE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,1:0:15:1;2:1:15:2
BOVINE.SWITCH.1 BK 12KV ISO .SWPS,-99,106032,-99,-99,516,-99,271247168,NULL,1,BOVINE,BOVINE,NULL,NULL,NULL,DMS.NO.1 BK 12KV ISO DISC_1369,1 BK 12KV ISO DISC_1369,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,Switch_Position,SW_POS,NULL,ABC,NULL,NULL,Calc,StatusPoint,175732,NO.1 BK 12KV ISO DISC,YES,Yes,CLOSE,No,NOVALUE,NO,NO,Yes,Class 16:Class 16,8:8,NOVALUE,NOVALUE,END,OPEN;CLOSE,NOVALUE,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
