CID,LimitsSetNumber,StateFeatureGroupSet,RaiseLwrStateGroupSet,ControlStateGroupSet,IndicationStateGroupSet,StateControlSet,LPID,StationNumber,Visible_POR_GUI,AbbrStationName,StationName,AccessArea,AccessZone,AOR,DevXref.AssetID,DevXref.DeviceName,VendorTypeName,DeviceUsageType,ModelTypeName,Dev.DeviceName,Dev.StructureName,OMSStructureNumber,OMSLineDeviceNumber,LoadDropDevice,DeviceAttribute,DevXref.GroupName,DevXref.Description,DevXref.SerialNumber,DevXref.High_Node,DevXref.Low_Node,DevXref.RDF_ID,ComponentAlias,ComponentTypeName,Point.MRID,Comp.PhaseCode,Comp.Attachment,Comp.AssocDir,MeasurementType,ComponentStorageType,PointNumber,PointName,IsIndication,ManualEntry,InitialValue,SetNonUpdate,Unit,IsControl,IsRaiseLwr,EventsEnabled,AlarmProfileName:AlarmClass,AlarmProfileNumber:ClassNumber,HighReasonabilityLmt,LowReasonabilityLmt,END,I_StateNames,C_StateNames,RL_StateNames,NrmAbrnml_States,Limit_Name|Limit_Number|High_Limit_1|Low_Limit_1|High_Limit_2|Low_Limit_2|High_Limit_3|Low_Limit_3|High_Limit_4|Low_Limit_4,StateNumber:Command:OperateTime:DesiredEndState
CENTER.SWITCH.PSE_RIFLE N CB.TRGTC,-99,111293,-99,-99,370,-99,270720192,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_RIFLE N CB_52783,PSE_RIFLE N CB_52783,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,TRGT C,TRGT C,NULL,C,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,142796,RIFLE C TRGT,YES,Yes,RESET,Yes,NOVALUE,NO,NO,Yes,Class 2:Class 2,9:9,NOVALUE,NOVALUE,END,RESET;TRIP,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_RIFLE N CB.TRGTG,-99,111294,-99,-99,370,-99,270720208,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_RIFLE N CB_52783,PSE_RIFLE N CB_52783,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,TRGT G,TRGT G,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,142797,RIFLE G TRGT,YES,Yes,RESET,Yes,NOVALUE,NO,NO,Yes,Class 2:Class 2,9:9,NOVALUE,NOVALUE,END,RESET;TRIP,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_SHOTGUN N .GRLY,-99,200482,-99,506,506,49002,268621776,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,GND RLY,GND RLY,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,11645,SHOTGUN GRD RLY,YES,Yes,AUTO,Yes,NOVALUE,YES,NO,Yes,Class 3:Class 3,10:10,NOVALUE,NOVALUE,END,SOLID;AUTO,SOLID;AUTO,NOVALUE,Yes;No,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,1:0:15:1;2:1:15:2
CENTER.SWITCH.PSE_SHOTGUN N .IA,1913,-99,-99,-99,-99,-99,536910864,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT A,CURRENT,NULL,A,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,2497,SHOTGUN IA,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,1212,-10,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|575|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_SHOTGUN N .IB,1914,-99,-99,-99,-99,-99,536910880,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT B,CURRENT,NULL,B,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,2498,SHOTGUN IB,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,1212,-10,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|575|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_SHOTGUN N .IC,1915,-99,-99,-99,-99,-99,536910896,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,CURRENT C,CURRENT,NULL,C,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,2499,SHOTGUN IC,YES,Yes,0,Yes,AMPS,NO,NO,Yes,Class 2:Class 2,9:9,1212,-10,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|575|-10||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_SHOTGUN N .POWP,1918,-99,-99,-99,-99,-99,536910944,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_P,POWER_P,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,2502,SHOTGUN MW,YES,Yes,0,Yes,MW,NO,NO,Yes,Class 16:Class 16,8:8,18.18,-18.18,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|9|-9||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_SHOTGUN N .POWQ,1917,-99,-99,-99,-99,-99,536910928,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,POWER_Q,POWER_Q,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,AnalogPoint,2501,SHOTGUN MVAR,YES,Yes,0,Yes,MVAR,NO,NO,Yes,Class 16:Class 16,8:8,18.18,-18.18,END,NOVALUE,NOVALUE,NOVALUE,NOVALUE,State_0|0|9|-9||||||,NOVALUE:NOVALUE:NOVALUE:NOVALUE
CENTER.SWITCH.PSE_SHOTGUN N .REC,-99,200480,-99,506,506,49000,268621744,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,REC,REC,NULL,ABC,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,11643,SHOTGUN N REC,YES,Yes,SOLID,Yes,NOVALUE,YES,NO,Yes,Class 3:Class 3,10:10,NOVALUE,NOVALUE,END,SOLID;AUTO,SOLID;AUTO,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,1:0:15:1;2:1:15:2
CENTER.SWITCH.PSE_SHOTGUN N .TRGTA,-99,200483,-99,-99,370,-99,268621792,NULL,1,CENTER,CENTER,NULL,NULL,NULL,DMS.PSE_SHOTGUN N CB_52709,PSE_SHOTGUN N CB_52709,SWITCH,EMS,SWITCH,NULL,NULL,NULL,NULL,NULL,NULL,EMS,NULL,NULL,NULL,NULL,NULL,TRGT A,TRGT A,NULL,A,LOW_SIDE,NULL,LIG DAC2 Telem,StatusPoint,11646,SHOTGUN A TRGT,YES,Yes,RESET,Yes,NOVALUE,NO,NO,Yes,Class 2:Class 2,9:9,NOVALUE,NOVALUE,END,RESET;TRIP,NOVALUE,NOVALUE,No;Yes,NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE|NOVALUE,NOVALUE:NOVALUE:NOVALUE:NOVALUE
