PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
1014,PECOS_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1016,PIERPONT,No,Yes,NULL,Inside,Yes,NULL,Yes,5528,39,
1017,AVERA_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1022,PITMAN,No,No,NULL,Inside,Yes,NULL,Yes,5301,36,
1032,SMILEY,No,No,NULL,Inside,Yes,NULL,Yes,5653,38,
1033,CLARK_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1035,TIMBERWINE,No,No,NULL,Inside,Yes,NULL,Yes,2260,36,
1048,BLUFF_COVE,No,No,NULL,Inside,Yes,NULL,Yes,5266,25,
1067,NWEST_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1074,WESTSIDE_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1075,DECATUR_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1076,RIVERA,No,Yes,NULL,Inside,Yes,NULL,Yes,5848,24,
1077,PERRY,No,Yes,NULL,Inside,Yes,NULL,Yes,5225,25,
1078,BELTWAY_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1081,HARDING,No,No,NULL,Inside,Yes,NULL,Yes,5168,26,
1082,HAVEDA,No,No,NULL,Inside,Yes,NULL,Yes,5254,25,
1083,FAULKNER_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1086,TOLSON_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1089,SINATRA_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1090,BIGHORN_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1091,REID_GNR_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1092,GRAND_T_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1093,GREENWAY_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1094,EQUESTRI_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1095,R_SUMMIT_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1096,BASIC_NVE,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1104,NVE_TAP,No,No,NULL,Inside,Yes,NULL,Yes,NULL,66,
1137,REDONDO_GENERATION,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0154,25,
1150,ALISA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5237,39,
1227,AIRPORT,No,Yes,NULL,Inside,Yes,NULL,Yes,NULL,64,
1229,FAIRFAX_LDWP,No,Yes,NULL,Inside,Yes,NULL,Yes,NULL,64,
