DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
NORTH OAKS CAP 1_1656,EMS,ABC,en_4138612_SH,1,N,NULL,NULL,NULL,3150,16.0KV_3150,Fall-InSvcSchedule,,NULL,All
NORTH OAKS CAP 1A_1657,EMS,ABC,en_4138614_SH,1,N,NULL,NULL,NULL,3150,16.0KV_3150,Fall-InSvcSchedule,,NULL,All
NORTH OAKS CAP 3_1658,EMS,ABC,en_4138632_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
NORTH OAKS CAP 3A_1659,EMS,ABC,en_4138634_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
GOLDTOWN CAP 1_1660,EMS,ABC,en_4139612_SH,1,N,NULL,NULL,NULL,3000,12.0KV_3000,Fall-InSvcSchedule,,NULL,All
MONOLITH CAP 1_1671,EMS,ABC,en_4157612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
RAILROAD CAP 3_1716,EMS,ABC,en_3242631_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MARIPOSA CAP 1_1731,EMS,ABC,en_4220103_SH,1,N,NULL,NULL,NULL,1500,12.0KV_1500,Fall-InSvcSchedule,,NULL,All
STRATHMORE CAP 1_1738,EMS,ABC,en_4226611_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
QUINN CAP 1_1739,EMS,ABC,en_4227611_SH,1,N,NULL,NULL,NULL,3000,12.0KV_3000,Fall-InSvcSchedule,,NULL,All
TERRA BELLA CAP 1_1740,EMS,ABC,en_4228611_SH,1,N,NULL,NULL,NULL,2400,12.0KV_2400,Fall-InSvcSchedule,,NULL,All
TERRA BELLA CAP 2_1741,EMS,ABC,en_4228620_SH,1,N,NULL,NULL,NULL,2400,12.0KV_2400,Fall-InSvcSchedule,,NULL,All
WELDON CAP 1_1742,EMS,ABC,en_4229611_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
WHEATLAND CAP 1_1743,EMS,ABC,en_4230611_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
NEWHALL NO. 1A CAP_1754,EMS,ABC,en_4240612_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
NEWHALL NO. 1B CAP_1755,EMS,ABC,en_4240613_SH,1,N,NULL,NULL,NULL,3000,16.0KV_3000,Fall-InSvcSchedule,,NULL,All
NEWHALL NO. 2 CAP_1756,EMS,ABC,en_4240622_SH,1,N,NULL,NULL,NULL,6000,16.0KV_6000,Fall-InSvcSchedule,,NULL,All
LOCKHEED NO. 1 CAP_1759,EMS,ABC,en_4245612_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
LOCKHEED NO. 2 CAP_1760,EMS,ABC,en_4245621_SH,1,N,NULL,NULL,NULL,4800,16.0KV_4800,Fall-InSvcSchedule,,NULL,All
TRITON CAP 1_2032,EMS,ABC,en_1293601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
TRITON CAP 4_2033,EMS,ABC,en_1293603_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MERCED CAP 1_2041,EMS,ABC,en_3027601_SH,1,N,NULL,NULL,NULL,7200,12.0KV_7200,Fall-InSvcSchedule,,NULL,All
MERCED CAP 2_2042,EMS,ABC,en_3027603_SH,1,N,NULL,NULL,NULL,7200,12.0KV_7200,Fall-InSvcSchedule,,NULL,All
PUENTE CAP 1_2043,EMS,ABC,en_3028611_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
PUENTE CAP 2_2044,EMS,ABC,en_3028602_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CANYON CAP 2_2047,EMS,ABC,en_3292600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
PIXLEY CAP 1_2056,EMS,ABC,en_3036612_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
PIXLEY CAP 2_2057,EMS,ABC,en_3036622_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
VILLA PARK CAP 3_2078,EMS,ABC,en_3043631_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
VILLA PARK CAP 4_2079,EMS,ABC,en_3043642_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ORANGE CAP 3_2156,EMS,ABC,en_3479606_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ORANGE CAP 4_2157,EMS,ABC,en_3479607_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
VIEJO CAP 3_2160,EMS,ABC,en_3528601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
VIEJO CAP 4_2161,EMS,ABC,en_3528605_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
INDUSTRY CAP 1_2511,EMS,ABC,en_3215603_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
INDUSTRY CAP 2_2512,EMS,ABC,en_3215601_SH,1,N,NULL,NULL,NULL,6150,12.0KV_6150,Fall-InSvcSchedule,,NULL,All
NOGALES CAP 2_2517,EMS,ABC,en_3240622_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
NOGALES CAP 1_2518,EMS,ABC,en_3240611_SH,1,N,NULL,NULL,NULL,5712,12.0KV_5712,Fall-InSvcSchedule,,NULL,All
