DeviceName,SwitchGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,ConnectedNode3,AlarmEnabled,SuppressActAlm,SuppressHisAlm,OptCont,OptLoadTran,BreakpointSwitch,AutoProtectionSwitch,SwitchTypeName,Ganged,NormalState,OpenState,CloseState,OtherState,NormalStateA,NormalStateB,NormalStateC,SubstationName,FeederName,AORRefName,VoltageLimitName
3054_72914,EMS,ABC,en_3465055,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
BS12_72915,EMS,ABC,en_3465999,en_3465998,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
BS12_72916,EMS,ABC,en_3465500,en_3465499,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1061_72917,EMS,ABC,en_3465998,en_3465110,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1062_72918,EMS,ABC,en_3465110,en_3465499,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3062_72919,EMS,ABC,en_3465110,en_3465111,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
BUS TIE 12KV CB_72920,EMS,ABC,en_3465111,en_3465056,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3064_72921,EMS,ABC,en_3465056,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
BS23_72922,EMS,ABC,en_3465998,en_3465997,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
BS23_72923,EMS,ABC,en_3465499,en_3465498,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1071_72924,EMS,ABC,en_3465997,en_3465112,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1072_72925,EMS,ABC,en_3465112,en_3465498,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 BANK 12KV CB_72926,EMS,ABC,en_3465112,en_3465113,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3073_72927,EMS,ABC,en_3465113,en_3465057,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3074_72928,EMS,ABC,en_3465057,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1081_72929,EMS,ABC,en_3465997,en_3465114,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1082_72930,EMS,ABC,en_3465114,en_3465498,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
KIMDALE 12KV CB_72931,EMS,ABC,en_3465114,en_3465115,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3083_72932,EMS,ABC,en_3465115,en_3465058,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3084_72933,EMS,ABC,en_3465058,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1091_72934,EMS,ABC,en_3465997,en_3465116,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1092_72935,EMS,ABC,en_3465116,en_3465498,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
ROADRUNNER 12KV CB_72936,EMS,ABC,en_3465116,en_3465117,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3093_72937,EMS,ABC,en_3465117,en_3465059,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3094_72938,EMS,ABC,en_3465059,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1101_72939,EMS,ABC,en_3465997,en_3465118,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
BUS PARALLEL 12KV CB_72940,EMS,ABC,en_3465118,en_3465119,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3102_72941,EMS,ABC,en_3465119,en_3465498,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1111_72942,EMS,ABC,en_3465997,en_3465120,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1112_72943,EMS,ABC,en_3465120,en_3465498,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
PLUMMER 12KV CB_72944,EMS,ABC,en_3465120,en_3465121,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3113_72945,EMS,ABC,en_3465121,en_3465061,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3114_72946,EMS,ABC,en_3465061,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 N BK DSC_73112,EMS,ABC,en_3465701,en_3465703,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 S BK DSC_73113,EMS,ABC,en_3465702,en_3465703,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 S BK DSC_73116,EMS,ABC,en_3465704,en_3465057,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPACITOR DSC_73119,EMS,ABC,en_3465997,en_3465600,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPACITOR FUSE_73120,EMS,ABC,en_3465600,en_3465610,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPACITOR DSC_73121,EMS,ABC,en_3465498,en_3465602,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPACITOR FUSE_73122,EMS,ABC,en_3465602,en_3465612,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1122_75416,EMS,ABC,en_3465125,en_3465498,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
AIDAN 12KV CB_75417,EMS,ABC,en_3465125,en_3465126,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3123_75418,EMS,ABC,en_3465126,en_3465062,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3124_75419,EMS,ABC,en_3465062,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1131_75420,EMS,ABC,en_3465997,en_3465127,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
1132_75421,EMS,ABC,en_3465127,en_3465498,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
STARGLOW 12KV CB_75422,EMS,ABC,en_3465127,en_3465128,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3133_75423,EMS,ABC,en_3465128,en_3465063,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
3134_75424,EMS,ABC,en_3465063,en_3465050,NULL,N,Y,Y,N,Y,N,N,EMS_SWITCH,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
