LimitGroupName,LimitGroupDesc,UnitName,LowReasonabilityLimit,HighReasonabilityLimit,AlarmDBand,AlarmDelay,HiReasonabilityDelayAlarm,LoReasonabilityDelayAlarm,HSEL_DelayAlarm,HLEL_DelayAlarm,HOL_DelayAlarm,LOL_DelayAlarm,LLEL_DelayAlarm,LSEL_DelayAlarm,SelectPointFlag,ZeroIsNormal,Percent_Significance,DAL_Control_PointNumber,Limit_Name,Limit_Number,Limit_Processing,Program_Name,High_Limit_4,High_Limit_3,High_Limit_2,High_Limit_1,Low_Limit_1,Low_Limit_2,Low_Limit_3,Low_Limit_4,Percent_Of_Ana_Pnt_Lims,Limits_Analog_Point
YORBA LIN BK :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
YORBA LIN BK :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
YORBA LIN BK :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
