DeviceName,TransformerGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,SuppressActAlm,SuppressHisAlm,Remark,PrimaryNormalTap,SecondaryNormalTap,PrimaryOptControl,SecondaryOptControl,PrimaryFeederVoltageControl,SecondaryFeederVoltageControl,MinimumRegulatorVoltage,MaximumRegulatorVoltage,PrimaryEarthResistance,SecondaryEarthResistance,PrimaryEarthImpedance,SecondaryEarthImpedance,AutomaticRegulator,AutomaticRegulatorC,AutomaticRegulatorMove,AutomaticRegulatorM,TransformerTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
DEVERS NO.1A BANK_311,EMS,ABC,en_502003,en_503055_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,DEVERS,NULL,All,NULL
DEVERS NO.3A BANK_313,EMS,ABC,en_502006,en_503060_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,DEVERS,NULL,All,NULL
DEVERS NO.4A BANK_314,EMS,ABC,en_502057,en_503063_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,DEVERS,NULL,All,NULL
NELSON NO.3 BANK_366,EMS,ABC,en_553005,en_662058_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,NELSON,NULL,All,NULL
NELSON NO.4 BANK_367,EMS,ABC,en_553008,en_662055_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,NELSON,NULL,All,NULL
MACARTHUR NO.1S BANK_398,EMS,ABC,en_651200,en_1200701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MACARTHUR,NULL,All,NULL
IRVINE NO.1S BANK_411,EMS,ABC,en_649093,en_3297705,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,IRVINE,NULL,All,NULL
VICTOR NO.9 BANK_499,EMS,ABC,en_403041,en_404128_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,VICTOR,NULL,All,NULL
SANTA BARBARA NO.4 BANK_503,EMS,ABC,en_822004,en_823012_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,SANTA_BARBARA,NULL,All,NULL
SANTA BARBARA NO.3E BANK_504,EMS,ABC,en_822150,en_823156,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,SANTA_BARBARA,NULL,All,NULL
