PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
73,VILLA_PK_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,49,
74,VILLA_PARK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5082,49,
75,YORBA_LINDA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5880,49,
76,LA_VETA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5835,49,
77,SLOAN_CANYON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,238,61,
78,CRAFTON_HILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,6367,13,
79,TELEGRAPH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5892,34,
80,PARKWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5816,34,
81,MWD_COYOTE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,1027,34,
82,LA_HABRA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5832,34,
83,CAROLINA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5813,34,
84,BREA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8802,34,
85,OLINDA_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,34,
86,OLINDA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5087,34,
87,DEEP_SPRINGS,No,No,NULL,Inside,No,NULL,Yes,2589,22,
88,MURPHY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5812,6,
89,PIONEER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5886,6,
90,STEWART,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5852,6,
91,SANTA_FE_SPRINGS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5850,6,
92,SPONGE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5857,6,
93,SIGGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5132,6,
94,MERCHANT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0159,47,
95,PROCAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5147,6,
96,TARZANA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,64,
97,NIETOS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5160,6,
98,CENTER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5084,6,
99,STENT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8339,45,
100,IMPERIAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5772,6,
101,GALLATIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5823,6,
102,DOUGOIL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5782,6,
103,CENTER_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,6,
104,PASSONS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5893,6,
105,LEWIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5089,27,
106,PROCTOR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5108,51,
107,RENO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5111,51,
108,PUENTE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5195,51,
109,NOGALES,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5655,51,
110,MERCED,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5193,51,
111,INDUSTRY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5191,51,
112,CRYCO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5125,51,
113,CORTEZ,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5186,51,
114,WALNUT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5014,51,
115,BASSETT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5184,51,
116,WALNUT_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,51,
117,RAILROAD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5196,51,
118,HILLGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5131,51,
119,CHESTNUT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5861,21,
120,REDONDO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5227,25,
121,SANTEE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5103,51,
122,FAIRVIEW,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5821,21,
123,CAMDEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5826,21,
124,CABRILLO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5879,21,
125,JOHANNA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5085,21,
126,WINDHUB,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5079,52,
127,LENNOX,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5213,14,
128,DOWNEY_MED,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5299,6,
129,BUCK_BLVD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0256,38,
130,SPACE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5267,14,
131,SEPULVEDA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5207,14,
132,ROSECRANS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5228,14,
133,TESLA,No,No,NULL,Inside,Yes,NULL,Yes,NULL,62,
134,POLARIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5202,14,
135,HUGHESAIR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5248,14,
136,GALAXY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5274,14,
137,FELTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5244,14,
138,DOUGLAS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5205,14,
139,NIAGARA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8567,17,
140,EL_SEGUNDO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5026,14,
141,WESBASIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8820,14,
142,EL_NIDO_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,14,
143,EL_NIDO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5023,14,
144,INGLEWOOD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5211,14,
145,WESTHILL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5278,7,
146,CHEVGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5283,7,
147,LOSULFUR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5261,7,
148,CHEVMAIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8063,7,
149,MOBILOIL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5229,25,
150,VICTORIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5232,25,
151,VAPOR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8559,25,
152,TORRANCE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5269,25,
153,TOPAZ,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5268,25,
154,OUTFALL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5127,25,
155,ROLLING_HILLS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5252,25,
156,SUNCREST,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,67,
157,AIRWAY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,64,
158,KALAMA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0167,52,
159,YUKON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5241,25,
160,MOOG,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5212,25,
161,WALTERIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5233,25,
