PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
384,MILLIKEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5663,30,
392,CHASE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5679,30,
393,ARCHIBALD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5659,30,
395,JEFFERSON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8275,30,
396,CORONA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8279,30,
405,PEDLEY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5626,30,
423,BAIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5656,30,
428,ESTRELLA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5865,40,
430,NIGUEL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5896,40,
431,MOULTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5845,40,
432,MORRO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5836,40,
434,SAN_ONOFRE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8055,40,
435,IRVINE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5829,40,
440,BORREGO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5887,40,
442,SANTIAGO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5088,40,
446,GLEN_AVON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8151,50,
451,BLOOMINGTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5620,50,
455,SHANDIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8093,50,
456,COLTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5610,50,
457,MAXWELL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8019,50,
460,HOMART,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8039,50,
462,ARROWHEAD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8094,50,
463,CALECTRIC,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8042,50,
467,PEPPER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8021,50,
532,NEWBURY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5557,32,
533,PHARMACY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8509,32,
534,THOUSAND_OAKS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5569,32,
535,LATIGO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5272,32,
539,POTRERO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5597,32,
541,MOORPARK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5056,32,
542,ZUMA,No,Yes,NULL,Inside,Yes,NULL,Yes,5249,32,
543,ROYAL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5580,32,
544,OAK_PARK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5525,32,
545,MALIBU,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5519,32,
546,TAPIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5277,32,
547,CRATER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5239,32,
548,VALDEZ,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5236,32,
695,VICTORVILLE,No,Yes,NULL,Inside,Yes,NULL,Yes,8260,47,
760,ATHENS,No,Yes,NULL,Inside,Yes,NULL,Yes,5727,28,
787,LAS_LOMAS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5902,40,
843,TOWNHALL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,10,
900,BURNT_MILL,No,Yes,NULL,Inside,Yes,NULL,Yes,5640,50,
901,HUSTON,No,Yes,NULL,Inside,Yes,NULL,Yes,5621,50,
902,RUNNING_SPRINGS,No,Yes,NULL,Inside,Yes,NULL,Yes,5661,50,
948,WRIGHTWOOD,No,Yes,NULL,Inside,Yes,NULL,Yes,5461,47,
1019,NUGGET,No,Yes,NULL,Inside,Yes,NULL,Yes,8156,10,
1027,PALM_CANYON,No,Yes,NULL,Inside,Yes,NULL,Yes,8214,10,
1029,BRYMAN,No,Yes,NULL,Inside,Yes,NULL,Yes,8117,47,
1087,OLDFIELD,No,Yes,NULL,Inside,Yes,NULL,Yes,5744,28,
1403,COFFEE,No,Yes,NULL,Inside,Yes,NULL,Yes,8171,10,
