DeviceNumber,DeviceName,ControlType,PnaSrd,PssSrd,NspSrd,CircuitID,FromSectionNumber,ToSectionNumber,LossMinimization,FlowLimitType,FlowLimitMonitorBaseCase,FlowLimitEnforceBaseCase,FlowLimitHardnessBaseCase,FlowLimitMonitorCaCase,FlowLimitEnforceCaCase,FlowLimitHardnessCaCase,FlowLimitViolSevWt,FromEndLimit1,FromEndLimit2,FromEndLimit3,ToEndLimit1,ToEndLimit2,ToEndLimit3,FixedSeriesResistance,FixedSeriesReactance,FlaDeviceZeroSeqFixResis,FlaDeviceZeroSeqFixReac,AssetLabel,ExModelRetentionFlag,DmsTransformFlag,CommentText1,CommentText2,CommentText3,ConnectionStatusIndicatorRef,OwnerBusNumberRef,FromBusNumberRef,ToBusNumberRef,FromCtBreakerRef,ToCtBreakerRef,FromMwStandardDeviation,FromMwInversionFlag,FromMwCmeUsage,FromMwOverrideStatus,FromMwReplacementValue,SetOrder2,FromMwAnalogPointRef,FromMwCtBreakerRef,FromMvStandardDeviation,FromMvInversionFlag,FromMvCmeUsage,FromMvOverrideStatus,FromMvReplacementValue,SetOrder3,FromMvAnalogPointRef,FromMvCtBreakerRef,FromAmpStandardDeviation,FromAmpInversionFlag,FromAmpCmeUsage,FromAmpOverrideStatus,FromAmpReplacementValue,SetOrder9,FromAmpAnalogPointRef,FromAmpCtBreakerRef,ToMwStandardDeviation,ToMwInversionFlag,ToMwCmeUsage,ToMwOverrideStatus,ToMwReplacementValue,SetOrder4,ToMwAnalogPointRef,ToMwCtBreakerRef,ToMvStandardDeviation,ToMvInversionFlag,ToMvCmeUsage,ToMvOverrideStatus,ToMvReplacementValue,SetOrder5,ToMvAnalogPointRef,ToMvCtBreakerRef,ToAmpStandardDeviation,ToAmpInversionFlag,ToAmpCmeUsage,ToAmpOverrideStatus,ToAmpReplacementValue,SetOrder8,ToAmpAnalogPointRef,ToAmpCtBreakerRef,FromEndLimitTelemetryRef,FromAmpereLimitTelemetryRef,ToEndLimitTelemetryRef,ToAmpereLimitTelemetryRef,FromMvaCmeOutputRef,ToMvaCmeOutputRef,LimitNumber,FromEndDynLimit1,FromEndDynLimit2,FromEndDynLimit3,ToEndDynLimit1,ToEndDynLimit2,ToEndDynLimit3,SinglePhTransCurRef,SinglePhSubtransCurRef,ThreePhTransCurRef,ThreePhSubtransCurRef,FromEndOpenIndicatorRef,ToEndOpenIndicatorRef,
9,SANTIAGO BK 7,Fixed,Yes,Yes,Yes,4,706,13,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,324266,1536,1536,1536,NULL,NULL,3,+,In/Out,Normal,NULL,1,124850,NULL,3,+,In/Out,Normal,NULL,2,124851,NULL,10,+,Out,Block,NULL,13,124846,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,324267,324268,
31,BUS TRANSFER,Fixed,No,Yes,Yes,0,101,120,IncludedIfOwner,Mva,On,On,1,On,On,1,1,42,50,50,42,50,50,.0001,.0002,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,324756,1185,1185,1185,NULL,NULL,3,+,In/Out,Normal,NULL,24,119938,NULL,3,+,In/Out,Normal,NULL,12,119937,NULL,5,+,Out,Block,NULL,82,119934,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,324757,324758,
42,CORONA 12 BT,Fixed,No,Yes,Yes,0,800,105,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,325710,1530,1530,1530,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,-,In/Out,Normal,NULL,1,216924,NULL,3,-,In/Out,Normal,NULL,1,182574,NULL,10,+,In/Out,Normal,NULL,1,182571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325711,325712,
47,CORONA 33kV BT,Fixed,No,Yes,Yes,0,951,100,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,325713,1529,1529,1529,NULL,NULL,3,-,In/Out,Normal,NULL,820,216866,NULL,3,-,In/Out,Normal,NULL,840,216867,NULL,10,+,Out,Block,NULL,13,182630,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325714,325715,
48,CORONA 4kV BT,Fixed,No,Yes,Yes,0,950,103,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,325592,1531,1531,1531,NULL,NULL,3,-,In/Out,Normal,NULL,920,216938,NULL,3,-,In/Out,Normal,NULL,840,182633,NULL,10,+,Out,Block,NULL,13,182655,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325593,325594,
89,CORONA BK 6,Fixed,Yes,Yes,Yes,1,900,5,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,325716,1530,1530,1530,NULL,NULL,3,+,In/Out,Normal,NULL,3077,182612,NULL,3,+,In/Out,Normal,NULL,3078,182613,NULL,10,+,Out,Block,NULL,13,182609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325717,325718,
90,BULLIS BK 2,Fixed,Yes,Yes,Yes,22,703,12,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,326095,252,252,252,NULL,NULL,3,+,In/Out,Normal,NULL,1,101429,NULL,3,+,In/Out,Normal,NULL,2,101430,NULL,10,+,Out,Block,NULL,12,101427,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326096,326097,
91,CORONA BK 7,Fixed,Yes,Yes,Yes,0,901,13,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,325719,1530,1530,1530,NULL,NULL,3,+,In/Out,Normal,NULL,3080,182618,NULL,3,+,In/Out,Normal,NULL,3081,182619,NULL,10,+,Out,Block,NULL,13,182615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325720,325721,
92,LYNWOOD 4 TIE,Fixed,No,Yes,Yes,0,109,201,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,325879,264,264,264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,325880,325881,
98,SIGNAL H 12 TIE,Fixed,No,Yes,Yes,0,201,50,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,326039,281,281,281,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326040,326041,
99,SIGNAL H 4 TIE,Fixed,No,Yes,Yes,0,999,201,IncludedIfOwner,Mva,On,On,1,On,On,1,1,100,115,135,100,115,135,.0001,.0002,NULL,NULL,NULL,NULL,Yes,NULL,NULL,NULL,326042,282,282,282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,326043,326044,
