EntryNumber,MwSchedule,MvOrPfSchedule,LoadNumberRef,TimePeriodRef
4692,3.774358974,0.225454545,4692,1
4693,2.030769231,0.225454545,4693,1
4694,3.630769231,0.507272727,4694,1
4695,2.092307692,0.281818182,4695,1
4696,2.092307692,0.112727273,4696,1
4697,1.928205128,0.563636364,4697,1
4698,1.435897436,0.112727273,4698,1
4699,2.379487179,0.563636364,4699,1
4700,1.435897436,0.507272727,4700,1
