DeviceName,SwitchGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,ConnectedNode3,AlarmEnabled,SuppressActAlm,SuppressHisAlm,OptCont,OptLoadTran,BreakpointSwitch,AutoProtectionSwitch,SwitchTypeName,Ganged,NormalState,OpenState,CloseState,OtherState,NormalStateA,NormalStateB,NormalStateC,SubstationName,FeederName,AORRefName,VoltageLimitName
NO.2 CAPS 12KV SW_2619,EMS,ABC,en_3318622,en_3318622_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPS 12KV SW_2620,EMS,ABC,en_3318632,en_3318632_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.4 CAPS 12KV SW_2621,EMS,ABC,en_3318642,en_3318642_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAP 16KV CB_2639,EMS,ABC,en_3322610,en_3322610_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.5 CAP 16KV CB_2640,EMS,ABC,en_3322650,en_3322650_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.8 CAP 16KV CB_2641,EMS,ABC,en_3322680,en_3322680_SH,NULL,N,Y,Y,N,Y,N,N,CB_16.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS SW_3011,EMS,ABC,en_3406114,en_3406114_SH,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.2 CAPS SW_3012,EMS,ABC,en_3406115,en_3406115_SH,NULL,N,Y,Y,N,Y,N,N,DISC_33.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.3 CAPS SW_3013,EMS,ABC,en_3407601,en_3407601_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
NO.1 CAPS SW_3014,EMS,ABC,en_3409601,en_3409601_SH,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
