DeviceName,SwitchGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,ConnectedNode3,AlarmEnabled,SuppressActAlm,SuppressHisAlm,OptCont,OptLoadTran,BreakpointSwitch,AutoProtectionSwitch,SwitchTypeName,Ganged,NormalState,OpenState,CloseState,OtherState,NormalStateA,NormalStateB,NormalStateC,SubstationName,FeederName,AORRefName,VoltageLimitName
12KV  19A3_32109,EMS,ABC,en_415112,en_415059,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV  39A1_32110,EMS,ABC,en_415059,en_415050,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV  2W BK DISC_32111,EMS,ABC,en_415701,en_415703,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV  2E BK DISC_32112,EMS,ABC,en_415702,en_415703,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 11A1_32252,EMS,ABC,en_390999,en_390100,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV PAR CB_32253,EMS,ABC,en_390100,en_390101,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 31A3_32254,EMS,ABC,en_390101,en_390050,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 12A1_32255,EMS,ABC,en_390999,en_390002,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Open,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
12KV 32A3_32256,EMS,ABC,en_390002,en_390050,NULL,N,Y,Y,N,Y,N,N,DISC_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
STAGHORN 12KV CB_32257,EMS,ABC,en_390002,en_390102,NULL,N,Y,Y,N,Y,N,N,CB_12.0_EMS,NULL,Closed,Open,Closed,NULL,NULL,NULL,NULL,,NULL,All,NULL
