LimitGroupName,LimitGroupDesc,UnitName,LowReasonabilityLimit,HighReasonabilityLimit,AlarmDBand,AlarmDelay,HiReasonabilityDelayAlarm,LoReasonabilityDelayAlarm,HSEL_DelayAlarm,HLEL_DelayAlarm,HOL_DelayAlarm,LOL_DelayAlarm,LLEL_DelayAlarm,LSEL_DelayAlarm,SelectPointFlag,ZeroIsNormal,Percent_Significance,DAL_Control_PointNumber,Limit_Name,Limit_Number,Limit_Processing,Program_Name,High_Limit_4,High_Limit_3,High_Limit_2,High_Limit_1,Low_Limit_1,Low_Limit_2,Low_Limit_3,Low_Limit_4,Percent_Of_Ana_Pnt_Lims,Limits_Analog_Point
SAVAGE NO.2W :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.2,22.4,-22.4,-29.2,-32.48,NULL,NULL,NULL
SAVAGE NO.2E :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
THOUSAND OAKS:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
THOUSAND OAKS:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
THOUSAND OAKS:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
THOUSAND OAKS:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
PALM CANYON N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.26,16.6,14,-14,-16.6,-20.26,NULL,NULL,NULL
PALM CANYON N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.26,16.6,14,-14,-16.6,-20.26,NULL,NULL,NULL
PALM CANYON N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,6.8,6.2,5,-5,-6.2,-6.8,NULL,NULL,NULL
BRYMAN NO.1 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,4.28,3.3,3.3,-3.3,-3.3,-4.28,NULL,NULL,NULL
ROADWAY NO.2S:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.3,18.19,14,-14,-18.19,-20.3,NULL,NULL,NULL
GLEN AVON NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
GLEN AVON NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
GLEN AVON NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,36.4,36.4,28,-28,-36.4,-36.4,NULL,NULL,NULL
SUNNYSIDE NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,57.24,51.31,51.31,-51.31,-51.31,-57.24,NULL,NULL,NULL
LAS LOMAS NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
CHASE NO.1N B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
CHASE NO.1S B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
CHASE NO.2N B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
CHASE NO.2S B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
OLDFIELD NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,10.87,9.75,7.5,-7.5,-9.75,-10.87,NULL,NULL,NULL
OLDFIELD NO.1:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,10.87,9.75,7.5,-7.5,-9.75,-10.87,NULL,NULL,NULL
CRATER NO.2 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.29,18.2,14,-14,-18.2,-20.29,NULL,NULL,NULL
CRATER NO.3 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.29,18.2,14,-14,-18.2,-20.29,NULL,NULL,NULL
DEVERS NO.6S :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.38,28,-28,-36.38,-40.6,NULL,NULL,NULL
DEVERS NO.7S :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.38,28,-28,-36.38,-40.6,NULL,NULL,NULL
CARODEAN NO.1:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
CARODEAN NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.3,18.2,14,-14,-18.2,-20.3,NULL,NULL,NULL
COLTON NO.3 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,33.69,26.09,18.75,-18.75,-26.09,-33.69,NULL,NULL,NULL
COLTON NO.4 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,33.69,26.09,12.5,-12.5,-26.09,-33.69,NULL,NULL,NULL
AQUEDUCT NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
AQUEDUCT NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.58,36.35,28,-28,-36.35,-40.58,NULL,NULL,NULL
AQUEDUCT NO.1:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.58,36.35,28,-28,-36.35,-40.58,NULL,NULL,NULL
VICTORVILLE N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,18.76,16.1,14,-14,-16.1,-18.76,NULL,NULL,NULL
VICTORVILLE N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,14.17,12.17,10.5,-10.5,-12.17,-14.17,NULL,NULL,NULL
VICTORVILLE N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,6.5,5,5,-5,-5,-6.5,NULL,NULL,NULL
MILLIKEN NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
MILLIKEN NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
MILLIKEN NO.3:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
MILLIKEN NO.3:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
CARSON NO.4S :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,31.34,27.31,22.4,-22.4,-27.31,-31.34,NULL,NULL,NULL
SIGNAL HILL N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.3,18.19,14,-14,-18.19,-20.3,NULL,NULL,NULL
MALIBU NO.1 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.58,36.41,28,-28,-36.41,-40.58,NULL,NULL,NULL
MALIBU NO.2 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.58,36.41,28,-28,-36.41,-40.58,NULL,NULL,NULL
POTRERO NO.1N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,35.29,28,-28,-35.29,-40.6,NULL,NULL,NULL
POTRERO NO.1S:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
POTRERO NO.3N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
POTRERO NO.3S:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
PHARMACY NO.1:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
PHARMACY NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
YUCCA NO.1 BA:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.46,29.1,22.4,-22.4,-29.1,-32.46,NULL,NULL,NULL
YUCCA NO.2 BA:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.46,29.1,22.4,-22.4,-29.1,-32.46,NULL,NULL,NULL
LAS LOMAS NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
SANTIAGO NO.1:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,14,11.2,11.2,-11.2,-11.2,-14,NULL,NULL,NULL
SANTIAGO NO.9:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,50,30,11.2,-11.2,-30,-50,NULL,NULL,NULL
BURNT MILL NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,7.59,6.81,5.25,-5.25,-6.81,-7.59,NULL,NULL,NULL
BURNT MILL NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,7.59,6.81,5.25,-5.25,-6.81,-7.59,NULL,NULL,NULL
THORNHILL NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
THORNHILL NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
JERSEY NO.1 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
JERSEY NO.2W :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
JERSEY NO.2E :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
NOLA NO.3S BA:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.45,29.1,22.4,-22.4,-29.1,-32.45,NULL,NULL,NULL
NOLA NO.3N BA:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.45,29.1,22.4,-22.4,-29.1,-32.45,NULL,NULL,NULL
BORREGO NO.2N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
BORREGO NO.2S:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
BORREGO NO.4 :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
IRVINE NO.2N :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
IRVINE NO.2S :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
IRVINE NO.1N :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.07,22.4,-22.4,-29.07,-32.48,NULL,NULL,NULL
MORRO NO.2 BA:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
MORRO NO.1 BA:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.3,18.2,14,-14,-18.2,-20.3,NULL,NULL,NULL
MAXWELL NO.1S:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
MAXWELL NO.1N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
MAXWELL NO.2S:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.48,29.12,22.4,-22.4,-29.12,-32.48,NULL,NULL,NULL
MAXWELL NO.2N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
ESTRELLA NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,28,28,-28,-28,-40.6,NULL,NULL,NULL
ESTRELLA NO.2:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,28,28,-28,-28,-40.6,NULL,NULL,NULL
ESTRELLA NO.4:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,28,28,-28,-28,-40.6,NULL,NULL,NULL
ESTRELLA NO.4:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,28,28,-28,-28,-40.6,NULL,NULL,NULL
MOORPARK NO.5:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,35.3,32.5,25,-25,-32.5,-35.3,NULL,NULL,NULL
MOORPARK NO.5:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,35.3,32.5,25,-25,-32.5,-35.3,NULL,NULL,NULL
MOORPARK NO.6:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
MOORPARK NO.6:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
EISENHOWER NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,70.58,70,33.6,-33.6,-70,-70.58,NULL,NULL,NULL
EISENHOWER NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,70.58,70,33.6,-33.6,-70,-70.58,NULL,NULL,NULL
EISENHOWER NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.46,29.1,22.4,-22.4,-29.1,-32.46,NULL,NULL,NULL
EISENHOWER NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.46,29.1,22.4,-22.4,-29.1,-32.46,NULL,NULL,NULL
HOMART NO.2N :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.3,18.19,14,-14,-18.19,-20.3,NULL,NULL,NULL
HOMART NO.2S :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.3,18.19,14,-14,-18.19,-20.3,NULL,NULL,NULL
HOMART NO.3 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
JEFFERSON NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.38,28,-28,-36.38,-40.6,NULL,NULL,NULL
JEFFERSON NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
JEFFERSON NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,34.8,31.2,24,-24,-31.2,-34.8,NULL,NULL,NULL
JEFFERSON NO.:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,34.8,31.2,24,-24,-31.2,-34.8,NULL,NULL,NULL
PEPPER NO.2E :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,34.8,31.2,24,-24,-31.2,-34.8,NULL,NULL,NULL
PEPPER NO.2W :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,34.8,31.2,24,-24,-31.2,-34.8,NULL,NULL,NULL
SHANDIN NO.2E:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.39,28,-28,-36.39,-40.6,NULL,NULL,NULL
SHANDIN NO.2W:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.39,28,-28,-36.39,-40.6,NULL,NULL,NULL
SHANDIN NO.4W:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.39,28,-28,-36.39,-40.6,NULL,NULL,NULL
ALON NO.2 BAN:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.6,24.45,28,-28,-24.45,-32.6,NULL,NULL,NULL
ALON NO.1 BAN:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.61,24.46,28,-28,-24.46,-32.61,NULL,NULL,NULL
WRIGHTWOOD NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.2,18.2,14,-14,-18.2,-20.2,NULL,NULL,NULL
WRIGHTWOOD NO:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,20.2,18.2,14,-14,-18.2,-20.2,NULL,NULL,NULL
FREMONT NO.5 :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,8.7,7.8,6,-6,-7.8,-8.7,NULL,NULL,NULL
FREMONT NO.6 :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,4.35,3.9,3,-3,-3.9,-4.35,NULL,NULL,NULL
FREMONT NO.1 :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,29.01,26,20,-20,-26,-29.01,NULL,NULL,NULL
FREMONT NO.2N:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.23,29.11,22.4,-22.4,-29.11,-32.23,NULL,NULL,NULL
FREMONT NO.2S:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,32.23,27.99,22.4,-22.4,-27.99,-32.23,NULL,NULL,NULL
NIGUEL NO.3 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
NIGUEL NO.4 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
NIGUEL NO.5 B:LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.4,28,-28,-36.4,-40.6,NULL,NULL,NULL
APPLE VALLEY :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.6,36.38,28,-28,-36.38,-40.6,NULL,NULL,NULL
APPLE VALLEY :LMT,EMS Transformer,MVA,-1000,1000,0,60,N,N,N,N,N,N,N,N,N,N,NULL,NULL,State_1,0,Values,NULL,NULL,40.34,36.06,28,-28,-36.06,-40.34,NULL,NULL,NULL
