DeviceName,SeriesGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,SeriesTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName
PHARMACY NO.1 BANK:SERIES,EMS,ABC,en_4218999_S,en_4218999,SRD_16.0KV_EMS,DMSLimitGrp1,PHARMACY,NULL,All
PHARMACY NO.2 BANK:SERIES,EMS,ABC,en_4218998_S,en_4218998,SRD_16.0KV_EMS,DMSLimitGrp1,PHARMACY,NULL,All
YUCCA NO.1 BANK:SERIES,EMS,ABC,en_4231701_S,en_4231701,SRD_12.0KV_EMS,DMSLimitGrp1,YUCCA,NULL,All
YUCCA NO.2 BANK:SERIES,EMS,ABC,en_4231702_S,en_4231702,SRD_12.0KV_EMS,DMSLimitGrp1,YUCCA,NULL,All
SANTIAGO NO.10 BANK:SERIES,EMS,ABC,en_1573031_S,en_1573031,SRD_33.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
SANTIAGO NO.9 BANK:SERIES,EMS,ABC,en_1573011_S,en_1573011,SRD_33.0KV_EMS,DMSLimitGrp1,SANTIAGO,NULL,All
BURNT MILL NO.1 BANK:SERIES,EMS,ABC,en_3018006_S,en_3018006,SRD_12.0KV_EMS,DMSLimitGrp1,BURNT_MILL,NULL,All
BURNT MILL NO.2 BANK:SERIES,EMS,ABC,en_3018007_S,en_3018007,SRD_12.0KV_EMS,DMSLimitGrp1,BURNT_MILL,NULL,All
JERSEY NO.1 BANK:SERIES,EMS,ABC,en_3267701_S,en_3267701,SRD_16.0KV_EMS,DMSLimitGrp1,JERSEY,NULL,All
BORREGO NO.4 BANK:SERIES,EMS,ABC,en_3286062_S,en_3286062,SRD_12.0KV_EMS,DMSLimitGrp1,BORREGO,NULL,All
MORRO NO.2 BANK:SERIES,EMS,ABC,en_3300006_S,en_3300006,SRD_12.0KV_EMS,DMSLimitGrp1,MORRO,NULL,All
MORRO NO.1 BANK:SERIES,EMS,ABC,en_3300012_S,en_3300012,SRD_12.0KV_EMS,DMSLimitGrp1,MORRO,NULL,All
EISENHOWER NO.3 BANK:SERIES,EMS,ABC,en_3406052_S,en_3406052,SRD_33.0KV_EMS,DMSLimitGrp1,EISENHOWER,NULL,All
EISENHOWER NO.4 BANK:SERIES,EMS,ABC,en_3406056_S,en_3406056,SRD_33.0KV_EMS,DMSLimitGrp1,EISENHOWER,NULL,All
