PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
65,MARS,No,No,NULL,Inside,Yes,NULL,Yes,6120,22,
87,DEEP_SPRINGS,No,No,NULL,Inside,No,NULL,Yes,2589,22,
206,KRAMER_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,22,
208,JUNE_LAKE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2583,22,
210,ZACK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2582,22,
296,CONTROL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2556,22,
297,TORTILLA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8037,22,
298,RUSH_CREEK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2514,22,
300,CONTROL_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,22,
301,BISHOP_CREEK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2501,22,
302,LEE_VINING,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2561,22,
304,CASA_DIABLO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2557,22,
305,SHERWIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2571,22,
306,TIEFORT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8047,22,
307,KRAMER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5042,22,
308,LUNDY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2560,22,
309,EDWARDS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8028,22,
311,SOUTHBASE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8344,22,
312,INYOKERN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5041,22,
313,BAKER,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8025,22,
315,DUNN_SIDING,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8097,22,
316,GALE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8283,22,
317,HAIWEE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,0217,22,
318,HOLGATE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8041,22,
320,MOUNTAIN_PASS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8030,22,
321,RANDSBURG,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8031,22,
322,ROCKET_TEST,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8032,22,
323,SEARLES,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8033,22,
324,SEGS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8320,22,
325,CALGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8312,22,
537,INYOKERN_TOWN,No,No,NULL,Inside,Yes,NULL,Yes,8170,22,
698,SUNGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,6915,22,
735,COSO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8361,22,
781,DOWNS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8137,22,
794,POOLE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2512,22,
809,U.S._BORAX,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8298,22,
819,MT._TOM,Yes,Yes,NULL,Inside,Yes,NULL,Yes,2598,22,
943,RIDGECREST,No,No,NULL,Inside,Yes,NULL,Yes,8226,22,
988,AMARGO,No,No,NULL,Inside,Yes,NULL,Yes,8102,22,
990,HARVARD,No,No,NULL,Inside,Yes,NULL,Yes,8161,22,
993,BRIDGEPORT,No,No,NULL,Inside,Yes,NULL,Yes,2610,22,
999,MINARET,No,No,NULL,Inside,Yes,NULL,Yes,2612,22,
1004,BARSTOW,No,Yes,NULL,Inside,Yes,NULL,Yes,8110,22,
1005,EAST_BARSTOW,No,Yes,NULL,Inside,Yes,NULL,Yes,8140,22,
1026,CALCITY,No,Yes,NULL,Inside,Yes,NULL,Yes,8132,22,
1030,RANCHO,No,Yes,NULL,Inside,Yes,NULL,Yes,8222,22,
1037,YERMO,No,No,NULL,Inside,Yes,NULL,Yes,8268,22,
1038,ORDWAY,No,No,NULL,Inside,Yes,NULL,Yes,8211,22,
1040,CADY,No,No,NULL,Inside,Yes,NULL,Yes,8119,22,
1041,CANTIL,No,No,NULL,Inside,Yes,NULL,Yes,8121,22,
1043,HINKLEY,No,No,NULL,Inside,Yes,NULL,Yes,8167,22,
1044,MINNEOLA,No,No,NULL,Inside,Yes,NULL,Yes,8190,22,
1046,NORTH_MUROC,No,No,NULL,Inside,Yes,NULL,Yes,8206,22,
1050,PEERLESS,No,No,NULL,Inside,Yes,NULL,Yes,8216,22,
1051,TRONA,No,No,NULL,Inside,Yes,NULL,Yes,8252,22,
1054,WEST_BARSTOW,No,No,NULL,Inside,Yes,NULL,Yes,8262,22,
1057,SKILAND,No,No,NULL,Inside,Yes,NULL,Yes,2611,22,
1156,HARPER_LAKE,No,No,NULL,Inside,Yes,NULL,Yes,8160,22,
1159,GOLDSTONE,No,No,NULL,Inside,Yes,NULL,Yes,8154,22,
1404,NAVAL_AIR_WEAPON,No,No,NULL,Inside,Yes,NULL,No,NULL,22,
1405,MILITARY,No,No,NULL,Inside,Yes,NULL,Yes,8120,22,
