AssetID,GroupName,Description,SerialNumber,High_Node,Low_Node,VendorTypeName,SetOrder,ComponentAlias,PhaseCode,Propagate_Non_Point_Value,Real_Initial_Value,Integer_Initial_Value,ComponentTypeName,StringValue,SubDeviceAssetID,StatusPointNumber,AnalogPointNumber,AccumPointNumber,RaiseLwPointNumber,CmePointNumber,StationNameRef,AccessZone,AccessArea,GroupNamePrimary,GroupNameSecondary,AORName
3121 4KV:6644,DMS,NULL,NULL,en_239012,en_239050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173929,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
3121:6601,DMS,NULL,NULL,en_238012,en_238147,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173864,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
3123:6603,DMS,NULL,NULL,en_238148,en_238050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173865,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
3131:6607,DMS,NULL,NULL,en_238013,en_238151,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173860,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
3133:6609,DMS,NULL,NULL,en_238152,en_238050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173861,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
321  4KV:6615,DMS,NULL,NULL,en_239002,en_239050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173956,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
331  4KV:6618,DMS,NULL,NULL,en_239003,en_239050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173953,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
341  4KV:6621,DMS,NULL,NULL,en_239004,en_239050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173950,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
351  4KV:6625,DMS,NULL,NULL,en_239109,en_239110,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173944,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
361  4KV:6629,DMS,NULL,NULL,en_239006,en_239050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173941,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
371  4KV:6632,DMS,NULL,NULL,en_239007,en_239050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173938,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
381  4KV:6635,DMS,NULL,NULL,en_239008,en_239050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173935,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
391  4KV:6638,DMS,NULL,NULL,en_239009,en_239050,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173898,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
4K BS TIE CB:6652,DMS,NULL,NULL,en_239108,en_239109,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173521,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
AB SEC DS:6622,DMS,NULL,NULL,en_239999,en_239200,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173947,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
