ENTRYNUMBER,OBJECTNAME                         ,OBJECTTYPE        ,SERVERCONTROLCENTERREF,DOMAINNAMEREF,DATASETNAMEREF,STATUSPOINTREF,ANALOGPOINTREF,ACCUMPOINTREF,CMEPOINTREF,INTERPRETA,MAN,VCCACCESSSETREF,SEQ
25827,DMS_OCEANVW_SMELTZER_MVAR          ,RealQ             ,1,             ,17,              ,121613,             ,           ,          ,   ,               ,
25828,DMS_OCEANVW_STANDARD_MVAR          ,RealQ             ,1,             ,17,              ,121603,             ,           ,          ,   ,               ,
25829,DMS_OCEANVW_WINTERSBURG_MVAR       ,RealQ             ,1,             ,17,              ,121598,             ,           ,          ,   ,               ,
25836,DMS_OJAI_16KV_BUS_VOLT             ,RealQ             ,1,             ,17,              ,69597,             ,           ,          ,   ,               ,
25837,DMS_OJAI_1BK_MVAR                  ,RealQ             ,1,             ,17,              ,69571,             ,           ,          ,   ,               ,
25838,DMS_OJAI_1BK_MW                    ,RealQ             ,1,             ,17,              ,69570,             ,           ,          ,   ,               ,
25842,DMS_OJAI_2_CAP_BK_CB               ,StateQ            ,1,             ,17,71148,              ,             ,           ,          ,   ,               ,
25843,DMS_OJAI_2_CAP_BK_CNTL             ,StateQ            ,1,             ,17,71149,              ,             ,           ,          ,   ,               ,
25839,DMS_OJAI_MATILIJA_MVAR             ,RealQ             ,1,             ,17,              ,69578,             ,           ,          ,   ,               ,
25840,DMS_OJAI_PATRICA_MVAR              ,RealQ             ,1,             ,17,              ,69588,             ,           ,          ,   ,               ,
25841,DMS_OJAI_THACHR_MVAR               ,RealQ             ,1,             ,17,              ,69583,             ,           ,          ,   ,               ,
25844,DMS_OLINDA_12KV_BUS_VOLT           ,RealQ             ,1,             ,17,              ,95229,             ,           ,          ,   ,               ,
25845,DMS_OLINDA_DRILLER_VARS            ,RealQ             ,1,             ,17,              ,95201,             ,           ,          ,   ,               ,
25846,DMS_OLINDA_GUSHER_VARS             ,RealQ             ,1,             ,17,              ,95206,             ,           ,          ,   ,               ,
25847,DMS_OLINDA_NO7_BK_MVARS            ,RealQ             ,1,             ,17,              ,95228,             ,           ,          ,   ,               ,
25848,DMS_OLINDA_NO7_BK_MW               ,RealQ             ,1,             ,17,              ,95227,             ,           ,          ,   ,               ,
25849,DMS_OLINDA_PIPELN_VARS             ,RealQ             ,1,             ,17,              ,95211,             ,           ,          ,   ,               ,
25850,DMS_OLINDA_WHIPSTOCK_VARS          ,RealQ             ,1,             ,17,              ,95216,             ,           ,          ,   ,               ,
32387,DMS_CORNUTA_JURY_IB                ,RealQ             ,1,             ,33,              ,125641,             ,           ,          ,   ,               ,
32537,DMS_CORNUTA_JURY_REC               ,StateQ            ,1,             ,32,192544,              ,             ,           ,          ,   ,               ,
32538,DMS_CORNUTA_LOBBY_CB               ,StateQ            ,1,             ,32,192550,              ,             ,           ,          ,   ,               ,
32388,DMS_CORNUTA_LOBBY_IB               ,RealQ             ,1,             ,33,              ,125646,             ,           ,          ,   ,               ,
32539,DMS_CORNUTA_LOBBY_REC              ,StateQ            ,1,             ,32,192551,              ,             ,           ,          ,   ,               ,
32540,DMS_CORNUTA_PRESIDENT_CB           ,StateQ            ,1,             ,32,192505,              ,             ,           ,          ,   ,               ,
32389,DMS_CORNUTA_PRESIDENT_IB           ,RealQ             ,1,             ,33,              ,125615,             ,           ,          ,   ,               ,
32541,DMS_CORNUTA_PRESIDENT_REC          ,StateQ            ,1,             ,32,192506,              ,             ,           ,          ,   ,               ,
32542,DMS_CORONA_GLACIER_CB              ,StateQ            ,1,             ,32,208927,              ,             ,           ,          ,   ,               ,
32390,DMS_CORONA_GLACIER_IB              ,RealQ             ,1,             ,33,              ,182551,             ,           ,          ,   ,               ,
32543,DMS_CORONA_GLACIER_REC             ,StateQ            ,1,             ,32,208890,              ,             ,           ,          ,   ,               ,
32544,DMS_CUDAHY_LIBERTY_CB              ,StateQ            ,1,             ,32,183888,              ,             ,           ,          ,   ,               ,
32391,DMS_CUDAHY_LIBERTY_IB              ,RealQ             ,1,             ,33,              ,122717,             ,           ,          ,   ,               ,
32545,DMS_CUDAHY_LIBERTY_REC             ,StateQ            ,1,             ,32,183890,              ,             ,           ,          ,   ,               ,
32546,DMS_CUDAHY_SALES_CB                ,StateQ            ,1,             ,32,183877,              ,             ,           ,          ,   ,               ,
32392,DMS_CUDAHY_SALES_IB                ,RealQ             ,1,             ,33,              ,122709,             ,           ,          ,   ,               ,
32547,DMS_CUDAHY_SALES_REC               ,StateQ            ,1,             ,32,183879,              ,             ,           ,          ,   ,               ,
32548,DMS_CYPRESS_PRIDA_CB               ,StateQ            ,1,             ,32,4454,              ,             ,           ,          ,   ,               ,
32393,DMS_CYPRESS_PRIDA_IB               ,RealQ             ,1,             ,33,              ,1308,             ,           ,          ,   ,               ,
32549,DMS_CYPRESS_PRIDA_REC              ,StateQ            ,1,             ,32,4455,              ,             ,           ,          ,   ,               ,
32550,DMS_CYPRESS_ROSSMOOR_CB            ,StateQ            ,1,             ,32,127608,              ,             ,           ,          ,   ,               ,
32394,DMS_CYPRESS_ROSSMOOR_IB            ,RealQ             ,1,             ,33,              ,110524,             ,           ,          ,   ,               ,
32551,DMS_CYPRESS_ROSSMOOR_REC           ,StateQ            ,1,             ,32,127609,              ,             ,           ,          ,   ,               ,
32552,DMS_CYPRESS_THORPE_CB              ,StateQ            ,1,             ,32,127646,              ,             ,           ,          ,   ,               ,
32395,DMS_CYPRESS_THORPE_IB              ,RealQ             ,1,             ,33,              ,110550,             ,           ,          ,   ,               ,
32553,DMS_CYPRESS_THORPE_REC             ,StateQ            ,1,             ,32,127647,              ,             ,           ,          ,   ,               ,
32554,DMS_DELAMO_TOBLERONE_CB            ,StateQ            ,1,             ,32,289002,              ,             ,           ,          ,   ,               ,
32396,DMS_DELAMO_TOBLERONE_IB            ,RealQ             ,1,             ,33,              ,225470,             ,           ,          ,   ,               ,
32555,DMS_DELAMO_TOBLERONE_REC           ,StateQ            ,1,             ,32,289003,              ,             ,           ,          ,   ,               ,
32556,DMS_ERIC_BABER_CB                  ,StateQ            ,1,             ,32,125497,              ,             ,           ,          ,   ,               ,
32397,DMS_ERIC_BABER_IB                  ,RealQ             ,1,             ,33,              ,109482,             ,           ,          ,   ,               ,
32557,DMS_ERIC_BABER_REC                 ,StateQ            ,1,             ,32,125498,              ,             ,           ,          ,   ,               ,
32558,DMS_ERIC_DORNES_CB                 ,StateQ            ,1,             ,32,125490,              ,             ,           ,          ,   ,               ,
32398,DMS_ERIC_DORNES_IB                 ,RealQ             ,1,             ,33,              ,109477,             ,           ,          ,   ,               ,
32559,DMS_ERIC_DORNES_RCLSR              ,StateQ            ,1,             ,32,125491,              ,             ,           ,          ,   ,               ,
32560,DMS_ERIC_HARVEST_CB                ,StateQ            ,1,             ,32,125561,              ,             ,           ,          ,   ,               ,
32399,DMS_ERIC_HARVEST_IB                ,RealQ             ,1,             ,33,              ,109528,             ,           ,          ,   ,               ,
32561,DMS_ERIC_HARVEST_RCLSR             ,StateQ            ,1,             ,32,125562,              ,             ,           ,          ,   ,               ,
32562,DMS_ERIC_MAPES_CB                  ,StateQ            ,1,             ,32,125504,              ,             ,           ,          ,   ,               ,
32400,DMS_ERIC_MAPES_IB                  ,RealQ             ,1,             ,33,              ,109487,             ,           ,          ,   ,               ,
32563,DMS_ERIC_MAPES_RCLSR               ,StateQ            ,1,             ,32,125505,              ,             ,           ,          ,   ,               ,
32564,DMS_ERIC_ROSETON_CB                ,StateQ            ,1,             ,32,125539,              ,             ,           ,          ,   ,               ,
32401,DMS_ERIC_ROSETON_IB                ,RealQ             ,1,             ,33,              ,109512,             ,           ,          ,   ,               ,
32565,DMS_ERIC_ROSETON_RCLSR             ,StateQ            ,1,             ,32,125540,              ,             ,           ,          ,   ,               ,
