ENTRYNUMBER,OBJECTNAME                         ,OBJECTTYPE        ,SERVERCONTROLCENTERREF,DOMAINNAMEREF,DATASETNAMEREF,STATUSPOINTREF,ANALOGPOINTREF,ACCUMPOINTREF,CMEPOINTREF,INTERPRETA,MAN,VCCACCESSSETREF,SEQ
83,DMS_SNMIGU_NO1_CAPS_KV             ,RealQ             ,1,             ,11,              ,71103,             ,           ,          ,   ,               ,
84,DMS_SNMIGU_NO2_CAPS_KV             ,RealQ             ,1,             ,11,              ,71107,             ,           ,          ,   ,               ,
6679,DMS0043636_Closecountinhibit       ,StateQ            ,4,             ,              ,1753504,              ,             ,           ,          ,   ,               ,
6680,DMS0043636_DailyOps                ,RealQ             ,4,             ,              ,              ,952106,             ,           ,          ,   ,               ,
6681,DMS0043636_DeltaVolts              ,RealQ             ,4,             ,              ,              ,952107,             ,           ,          ,   ,               ,
6682,DMS0043636_DeviceStatus            ,StateQ            ,4,             ,              ,1753509,              ,             ,           ,          ,   ,               ,
6683,DMS0043636_FuseStatus              ,StateQ            ,4,             ,              ,1753513,              ,             ,           ,          ,   ,               ,
6684,DMS0043636_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1753515,              ,             ,           ,          ,   ,               ,
6685,DMS0043636_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1753516,              ,             ,           ,          ,   ,               ,
6686,DMS0043636_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1753517,              ,             ,           ,          ,   ,               ,
6687,DMS0043636_ModeStatus              ,DiscreteQ         ,4,             ,              ,1753518,              ,             ,           ,          ,   ,               ,
6688,DMS0043636_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1753525,              ,             ,           ,          ,   ,               ,
6689,DMS0043636_RemoteHours             ,RealQ             ,4,             ,              ,              ,952109,             ,           ,          ,   ,               ,
6690,DMS0043636_Size                    ,RealQ             ,4,             ,              ,              ,952111,             ,           ,          ,   ,               ,
6691,DMS0043636_Volts                   ,RealQ             ,4,             ,              ,              ,952115,             ,           ,          ,   ,               ,
6692,DMS0043637_Closecountinhibit       ,StateQ            ,4,             ,              ,1640354,              ,             ,           ,          ,   ,               ,
6693,DMS0043637_DailyOps                ,RealQ             ,4,             ,              ,              ,884216,             ,           ,          ,   ,               ,
6694,DMS0043637_DeltaVolts              ,RealQ             ,4,             ,              ,              ,884217,             ,           ,          ,   ,               ,
6695,DMS0043637_DeviceStatus            ,StateQ            ,4,             ,              ,1640359,              ,             ,           ,          ,   ,               ,
6696,DMS0043637_FuseStatus              ,StateQ            ,4,             ,              ,1640363,              ,             ,           ,          ,   ,               ,
6697,DMS0043637_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1640365,              ,             ,           ,          ,   ,               ,
6698,DMS0043637_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1640366,              ,             ,           ,          ,   ,               ,
6699,DMS0043637_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1640367,              ,             ,           ,          ,   ,               ,
6700,DMS0043637_ModeStatus              ,DiscreteQ         ,4,             ,              ,1640368,              ,             ,           ,          ,   ,               ,
6701,DMS0043637_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1640375,              ,             ,           ,          ,   ,               ,
6702,DMS0043637_RemoteHours             ,RealQ             ,4,             ,              ,              ,884219,             ,           ,          ,   ,               ,
6703,DMS0043637_Size                    ,RealQ             ,4,             ,              ,              ,884221,             ,           ,          ,   ,               ,
6704,DMS0043637_Volts                   ,RealQ             ,4,             ,              ,              ,884225,             ,           ,          ,   ,               ,
6705,DMS0046108_DailyOps                ,RealQ             ,4,             ,              ,              ,1094552,             ,           ,          ,   ,               ,
6706,DMS0046108_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1094553,             ,           ,          ,   ,               ,
6707,DMS0046108_Size                    ,RealQ             ,4,             ,              ,              ,1094557,             ,           ,          ,   ,               ,
6708,DMS0046108_Volts                   ,RealQ             ,4,             ,              ,              ,1094559,             ,           ,          ,   ,               ,
6709,DMS0107870_Closecountinhibit       ,StateQ            ,4,             ,              ,1839904,              ,             ,           ,          ,   ,               ,
6710,DMS0107870_DailyOps                ,RealQ             ,4,             ,              ,              ,1118827,             ,           ,          ,   ,               ,
6711,DMS0107870_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1118828,             ,           ,          ,   ,               ,
6712,DMS0107870_DeviceStatus            ,StateQ            ,4,             ,              ,2016195,              ,             ,           ,          ,   ,               ,
6713,DMS0107870_FuseStatus              ,StateQ            ,4,             ,              ,1839913,              ,             ,           ,          ,   ,               ,
6714,DMS0107870_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,2016199,              ,             ,           ,          ,   ,               ,
6715,DMS0107870_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,2016200,              ,             ,           ,          ,   ,               ,
6716,DMS0107870_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1839917,              ,             ,           ,          ,   ,               ,
6717,DMS0107870_ModeStatus              ,DiscreteQ         ,4,             ,              ,2016201,              ,             ,           ,          ,   ,               ,
6718,DMS0107870_OperationalStatus       ,DiscreteQ         ,4,             ,              ,2016204,              ,             ,           ,          ,   ,               ,
6719,DMS0107870_RemoteHours             ,RealQ             ,4,             ,              ,              ,1118830,             ,           ,          ,   ,               ,
6720,DMS0107870_Size                    ,RealQ             ,4,             ,              ,              ,1118832,             ,           ,          ,   ,               ,
6721,DMS0107870_Volts                   ,RealQ             ,4,             ,              ,              ,1118834,             ,           ,          ,   ,               ,
6722,DMS0113490_Closecountinhibit       ,StateQ            ,4,             ,              ,1828004,              ,             ,           ,          ,   ,               ,
6723,DMS0113490_DailyOps                ,RealQ             ,4,             ,              ,              ,1114602,             ,           ,          ,   ,               ,
6724,DMS0113490_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1114603,             ,           ,          ,   ,               ,
6725,DMS0113490_DeviceStatus            ,StateQ            ,4,             ,              ,2011125,              ,             ,           ,          ,   ,               ,
6726,DMS0113490_FuseStatus              ,StateQ            ,4,             ,              ,1828013,              ,             ,           ,          ,   ,               ,
6727,DMS0113490_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,2011129,              ,             ,           ,          ,   ,               ,
6728,DMS0113490_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,2011130,              ,             ,           ,          ,   ,               ,
6729,DMS0113490_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1828017,              ,             ,           ,          ,   ,               ,
6730,DMS0113490_ModeStatus              ,DiscreteQ         ,4,             ,              ,2011131,              ,             ,           ,          ,   ,               ,
6731,DMS0113490_OperationalStatus       ,DiscreteQ         ,4,             ,              ,2011134,              ,             ,           ,          ,   ,               ,
6732,DMS0113490_RemoteHours             ,RealQ             ,4,             ,              ,              ,1114605,             ,           ,          ,   ,               ,
6733,DMS0113490_Size                    ,RealQ             ,4,             ,              ,              ,1114607,             ,           ,          ,   ,               ,
6734,DMS0113490_Volts                   ,RealQ             ,4,             ,              ,              ,1114609,             ,           ,          ,   ,               ,
6735,DMS0120459_Closecountinhibit       ,StateQ            ,4,             ,              ,1839954,              ,             ,           ,          ,   ,               ,
6736,DMS0120459_DailyOps                ,RealQ             ,4,             ,              ,              ,1003976,             ,           ,          ,   ,               ,
6737,DMS0120459_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1003977,             ,           ,          ,   ,               ,
6738,DMS0120459_DeviceStatus            ,StateQ            ,4,             ,              ,1979882,              ,             ,           ,          ,   ,               ,
6739,DMS0120459_FuseStatus              ,StateQ            ,4,             ,              ,1839963,              ,             ,           ,          ,   ,               ,
6740,DMS0120459_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1979883,              ,             ,           ,          ,   ,               ,
6741,DMS0120459_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1979884,              ,             ,           ,          ,   ,               ,
6742,DMS0120459_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1979885,              ,             ,           ,          ,   ,               ,
6743,DMS0120459_ModeStatus              ,DiscreteQ         ,4,             ,              ,1979886,              ,             ,           ,          ,   ,               ,
6744,DMS0120459_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1979887,              ,             ,           ,          ,   ,               ,
6745,DMS0120459_RemoteHours             ,RealQ             ,4,             ,              ,              ,1088663,             ,           ,          ,   ,               ,
6746,DMS0120459_Size                    ,RealQ             ,4,             ,              ,              ,1088664,             ,           ,          ,   ,               ,
6747,DMS0120459_Volts                   ,RealQ             ,4,             ,              ,              ,1088666,             ,           ,          ,   ,               ,
6748,DMS0156843_Closecountinhibit       ,StateQ            ,4,             ,              ,1828104,              ,             ,           ,          ,   ,               ,
6749,DMS0156843_DailyOps                ,RealQ             ,4,             ,              ,              ,1098602,             ,           ,          ,   ,               ,
6750,DMS0156843_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1098603,             ,           ,          ,   ,               ,
6751,DMS0156843_DeviceStatus            ,StateQ            ,4,             ,              ,1991925,              ,             ,           ,          ,   ,               ,
6752,DMS0156843_FuseStatus              ,StateQ            ,4,             ,              ,1828113,              ,             ,           ,          ,   ,               ,
6753,DMS0156843_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1991929,              ,             ,           ,          ,   ,               ,
6754,DMS0156843_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1991930,              ,             ,           ,          ,   ,               ,
6755,DMS0156843_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1828117,              ,             ,           ,          ,   ,               ,
6756,DMS0156843_ModeStatus              ,DiscreteQ         ,4,             ,              ,1991931,              ,             ,           ,          ,   ,               ,
6757,DMS0156843_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1991934,              ,             ,           ,          ,   ,               ,
6758,DMS0156843_RemoteHours             ,RealQ             ,4,             ,              ,              ,1098605,             ,           ,          ,   ,               ,
6759,DMS0156843_Size                    ,RealQ             ,4,             ,              ,              ,1098607,             ,           ,          ,   ,               ,
6760,DMS0156843_Volts                   ,RealQ             ,4,             ,              ,              ,1098609,             ,           ,          ,   ,               ,
6761,DMS0159103_Closecountinhibit       ,StateQ            ,4,             ,              ,1541404,              ,             ,           ,          ,   ,               ,
6762,DMS0159103_DailyOps                ,RealQ             ,4,             ,              ,              ,824846,             ,           ,          ,   ,               ,
6763,DMS0159103_DeltaVolts              ,RealQ             ,4,             ,              ,              ,824847,             ,           ,          ,   ,               ,
6764,DMS0159103_DeviceStatus            ,StateQ            ,4,             ,              ,1541409,              ,             ,           ,          ,   ,               ,
6765,DMS0159103_FuseStatus              ,StateQ            ,4,             ,              ,1541413,              ,             ,           ,          ,   ,               ,
6766,DMS0159103_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1541415,              ,             ,           ,          ,   ,               ,
6767,DMS0159103_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1541416,              ,             ,           ,          ,   ,               ,
6768,DMS0159103_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1541417,              ,             ,           ,          ,   ,               ,
6769,DMS0159103_ModeStatus              ,DiscreteQ         ,4,             ,              ,1541418,              ,             ,           ,          ,   ,               ,
6770,DMS0159103_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1541425,              ,             ,           ,          ,   ,               ,
6771,DMS0159103_RemoteHours             ,RealQ             ,4,             ,              ,              ,824849,             ,           ,          ,   ,               ,
6772,DMS0159103_Size                    ,RealQ             ,4,             ,              ,              ,824851,             ,           ,          ,   ,               ,
6773,DMS0159103_Volts                   ,RealQ             ,4,             ,              ,              ,824855,             ,           ,          ,   ,               ,
6774,DMS0179762_Closecountinhibit       ,StateQ            ,4,             ,              ,1541604,              ,             ,           ,          ,   ,               ,
6775,DMS0179762_DailyOps                ,RealQ             ,4,             ,              ,              ,824966,             ,           ,          ,   ,               ,
6776,DMS0179762_DeltaVolts              ,RealQ             ,4,             ,              ,              ,824967,             ,           ,          ,   ,               ,
6777,DMS0179762_DeviceStatus            ,StateQ            ,4,             ,              ,1541609,              ,             ,           ,          ,   ,               ,
6778,DMS0179762_FuseStatus              ,StateQ            ,4,             ,              ,1541613,              ,             ,           ,          ,   ,               ,
6779,DMS0179762_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1541615,              ,             ,           ,          ,   ,               ,
6780,DMS0179762_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1541616,              ,             ,           ,          ,   ,               ,
6781,DMS0179762_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1541617,              ,             ,           ,          ,   ,               ,
6782,DMS0179762_ModeStatus              ,DiscreteQ         ,4,             ,              ,1541618,              ,             ,           ,          ,   ,               ,
6783,DMS0179762_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1541625,              ,             ,           ,          ,   ,               ,
6784,DMS0179762_RemoteHours             ,RealQ             ,4,             ,              ,              ,824969,             ,           ,          ,   ,               ,
6785,DMS0179762_Size                    ,RealQ             ,4,             ,              ,              ,824971,             ,           ,          ,   ,               ,
6786,DMS0179762_Volts                   ,RealQ             ,4,             ,              ,              ,824975,             ,           ,          ,   ,               ,
6787,DMS0183283_Closecountinhibit       ,StateQ            ,4,             ,              ,2033845,              ,             ,           ,          ,   ,               ,
6788,DMS0183283_DailyOps                ,RealQ             ,4,             ,              ,              ,1132602,             ,           ,          ,   ,               ,
6789,DMS0183283_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1132603,             ,           ,          ,   ,               ,
6790,DMS0183283_DeviceStatus            ,StateQ            ,4,             ,              ,2033849,              ,             ,           ,          ,   ,               ,
6791,DMS0183283_FuseStatus              ,StateQ            ,4,             ,              ,2033852,              ,             ,           ,          ,   ,               ,
6792,DMS0183283_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,2033855,              ,             ,           ,          ,   ,               ,
6793,DMS0183283_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,2033856,              ,             ,           ,          ,   ,               ,
6794,DMS0183283_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1827967,              ,             ,           ,          ,   ,               ,
6795,DMS0183283_ModeStatus              ,DiscreteQ         ,4,             ,              ,2033857,              ,             ,           ,          ,   ,               ,
6796,DMS0183283_OperationalStatus       ,DiscreteQ         ,4,             ,              ,2033861,              ,             ,           ,          ,   ,               ,
6797,DMS0183283_RemoteHours             ,RealQ             ,4,             ,              ,              ,1132606,             ,           ,          ,   ,               ,
6798,DMS0183283_Size                    ,RealQ             ,4,             ,              ,              ,1132608,             ,           ,          ,   ,               ,
6799,DMS0183283_Volts                   ,RealQ             ,4,             ,              ,              ,1132611,             ,           ,          ,   ,               ,
6800,DMS0187661_Closecountinhibit       ,StateQ            ,4,             ,              ,1541804,              ,             ,           ,          ,   ,               ,
6801,DMS0187661_DailyOps                ,RealQ             ,4,             ,              ,              ,825086,             ,           ,          ,   ,               ,
6802,DMS0187661_DeltaVolts              ,RealQ             ,4,             ,              ,              ,825087,             ,           ,          ,   ,               ,
6803,DMS0187661_DeviceStatus            ,StateQ            ,4,             ,              ,1541809,              ,             ,           ,          ,   ,               ,
6804,DMS0187661_FuseStatus              ,StateQ            ,4,             ,              ,1541813,              ,             ,           ,          ,   ,               ,
6805,DMS0187661_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1541815,              ,             ,           ,          ,   ,               ,
6806,DMS0187661_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1541816,              ,             ,           ,          ,   ,               ,
6807,DMS0187661_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1541817,              ,             ,           ,          ,   ,               ,
6808,DMS0187661_ModeStatus              ,DiscreteQ         ,4,             ,              ,1541818,              ,             ,           ,          ,   ,               ,
6809,DMS0187661_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1541825,              ,             ,           ,          ,   ,               ,
6810,DMS0187661_RemoteHours             ,RealQ             ,4,             ,              ,              ,825089,             ,           ,          ,   ,               ,
6811,DMS0187661_Size                    ,RealQ             ,4,             ,              ,              ,825091,             ,           ,          ,   ,               ,
6812,DMS0187661_Volts                   ,RealQ             ,4,             ,              ,              ,825095,             ,           ,          ,   ,               ,
6813,DMS0187662_Closecountinhibit       ,StateQ            ,4,             ,              ,1640654,              ,             ,           ,          ,   ,               ,
6814,DMS0187662_DailyOps                ,RealQ             ,4,             ,              ,              ,884396,             ,           ,          ,   ,               ,
6815,DMS0187662_DeviceStatus            ,StateQ            ,4,             ,              ,1640659,              ,             ,           ,          ,   ,               ,
6816,DMS0187662_FuseStatus              ,StateQ            ,4,             ,              ,1640663,              ,             ,           ,          ,   ,               ,
6817,DMS0187662_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1640665,              ,             ,           ,          ,   ,               ,
6818,DMS0187662_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1640666,              ,             ,           ,          ,   ,               ,
6819,DMS0187662_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1640667,              ,             ,           ,          ,   ,               ,
6820,DMS0187662_ModeStatus              ,DiscreteQ         ,4,             ,              ,1640668,              ,             ,           ,          ,   ,               ,
6821,DMS0187662_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1640675,              ,             ,           ,          ,   ,               ,
6822,DMS0187662_RemoteHours             ,RealQ             ,4,             ,              ,              ,884399,             ,           ,          ,   ,               ,
6823,DMS0187662_Size                    ,RealQ             ,4,             ,              ,              ,884401,             ,           ,          ,   ,               ,
6824,DMS0187662_Volts                   ,RealQ             ,4,             ,              ,              ,884405,             ,           ,          ,   ,               ,
6829,DMS0187662_DeltaVolts              ,RealQ             ,4,             ,              ,              ,884397,             ,           ,          ,   ,               ,
6830,DMS0187671_DailyOps                ,RealQ             ,4,             ,              ,              ,884426,             ,           ,          ,   ,               ,
6831,DMS0187671_DeltaVolts              ,RealQ             ,4,             ,              ,              ,884427,             ,           ,          ,   ,               ,
6832,DMS0187671_Size                    ,RealQ             ,4,             ,              ,              ,884431,             ,           ,          ,   ,               ,
6833,DMS0187671_Volts                   ,RealQ             ,4,             ,              ,              ,884435,             ,           ,          ,   ,               ,
6834,DMS0187672_DailyOps                ,RealQ             ,4,             ,              ,              ,906866,             ,           ,          ,   ,               ,
6835,DMS0187672_DeltaVolts              ,RealQ             ,4,             ,              ,              ,906867,             ,           ,          ,   ,               ,
6836,DMS0187672_Size                    ,RealQ             ,4,             ,              ,              ,906871,             ,           ,          ,   ,               ,
6837,DMS0187672_Volts                   ,RealQ             ,4,             ,              ,              ,906875,             ,           ,          ,   ,               ,
6838,DMS0187679_Closecountinhibit       ,StateQ            ,4,             ,              ,1569304,              ,             ,           ,          ,   ,               ,
6839,DMS0187679_DailyOps                ,RealQ             ,4,             ,              ,              ,841586,             ,           ,          ,   ,               ,
6840,DMS0187679_DeltaVolts              ,RealQ             ,4,             ,              ,              ,841587,             ,           ,          ,   ,               ,
6841,DMS0187679_DeviceStatus            ,StateQ            ,4,             ,              ,1569309,              ,             ,           ,          ,   ,               ,
6842,DMS0187679_FuseStatus              ,StateQ            ,4,             ,              ,1569313,              ,             ,           ,          ,   ,               ,
6843,DMS0187679_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1569315,              ,             ,           ,          ,   ,               ,
6844,DMS0187679_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1569316,              ,             ,           ,          ,   ,               ,
6845,DMS0187679_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1569317,              ,             ,           ,          ,   ,               ,
6846,DMS0187679_ModeStatus              ,DiscreteQ         ,4,             ,              ,1569318,              ,             ,           ,          ,   ,               ,
6847,DMS0187679_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1569325,              ,             ,           ,          ,   ,               ,
6848,DMS0187679_RemoteHours             ,RealQ             ,4,             ,              ,              ,841589,             ,           ,          ,   ,               ,
6849,DMS0187679_Size                    ,RealQ             ,4,             ,              ,              ,841591,             ,           ,          ,   ,               ,
6850,DMS0187679_Volts                   ,RealQ             ,4,             ,              ,              ,841595,             ,           ,          ,   ,               ,
6851,DMS0189464_Closecountinhibit       ,StateQ            ,4,             ,              ,2044765,              ,             ,           ,          ,   ,               ,
6852,DMS0189464_DailyOps                ,RealQ             ,4,             ,              ,              ,1140402,             ,           ,          ,   ,               ,
6853,DMS0189464_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1140403,             ,           ,          ,   ,               ,
6854,DMS0189464_DeviceStatus            ,StateQ            ,4,             ,              ,2044769,              ,             ,           ,          ,   ,               ,
6855,DMS0189464_FuseStatus              ,StateQ            ,4,             ,              ,2044772,              ,             ,           ,          ,   ,               ,
6856,DMS0189464_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,2044775,              ,             ,           ,          ,   ,               ,
6857,DMS0189464_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,2044776,              ,             ,           ,          ,   ,               ,
6858,DMS0189464_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1828067,              ,             ,           ,          ,   ,               ,
6859,DMS0189464_ModeStatus              ,DiscreteQ         ,4,             ,              ,2044777,              ,             ,           ,          ,   ,               ,
6860,DMS0189464_OperationalStatus       ,DiscreteQ         ,4,             ,              ,2044781,              ,             ,           ,          ,   ,               ,
6861,DMS0189464_RemoteHours             ,RealQ             ,4,             ,              ,              ,1140406,             ,           ,          ,   ,               ,
6862,DMS0189464_Size                    ,RealQ             ,4,             ,              ,              ,1140408,             ,           ,          ,   ,               ,
6863,DMS0189464_Volts                   ,RealQ             ,4,             ,              ,              ,1140411,             ,           ,          ,   ,               ,
6864,DMS0191161_Closecountinhibit       ,StateQ            ,4,             ,              ,1811704,              ,             ,           ,          ,   ,               ,
6865,DMS0191161_DailyOps                ,RealQ             ,4,             ,              ,              ,987026,             ,           ,          ,   ,               ,
6866,DMS0191161_DeltaVolts              ,RealQ             ,4,             ,              ,              ,987027,             ,           ,          ,   ,               ,
6867,DMS0191161_FuseStatus              ,StateQ            ,4,             ,              ,1811713,              ,             ,           ,          ,   ,               ,
6868,DMS0191161_DeviceStatus            ,StateQ            ,4,             ,              ,1811709,              ,             ,           ,          ,   ,               ,
6869,DMS0191161_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1811715,              ,             ,           ,          ,   ,               ,
6870,DMS0191161_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1811716,              ,             ,           ,          ,   ,               ,
6871,DMS0191161_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1811717,              ,             ,           ,          ,   ,               ,
6872,DMS0191161_ModeStatus              ,DiscreteQ         ,4,             ,              ,1811718,              ,             ,           ,          ,   ,               ,
6873,DMS0191161_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1811725,              ,             ,           ,          ,   ,               ,
6874,DMS0191161_RemoteHours             ,RealQ             ,4,             ,              ,              ,987029,             ,           ,          ,   ,               ,
6875,DMS0191161_Size                    ,RealQ             ,4,             ,              ,              ,987031,             ,           ,          ,   ,               ,
6876,DMS0191161_Volts                   ,RealQ             ,4,             ,              ,              ,987035,             ,           ,          ,   ,               ,
6877,DMS0206448_Closecountinhibit       ,StateQ            ,4,             ,              ,1836254,              ,             ,           ,          ,   ,               ,
6878,DMS0206448_DailyOps                ,RealQ             ,4,             ,              ,              ,1001756,             ,           ,          ,   ,               ,
6879,DMS0206448_DeltaVolts              ,RealQ             ,4,             ,              ,              ,1001757,             ,           ,          ,   ,               ,
6880,DMS0206448_DeviceStatus            ,StateQ            ,4,             ,              ,1836259,              ,             ,           ,          ,   ,               ,
6881,DMS0206448_FuseStatus              ,StateQ            ,4,             ,              ,1836263,              ,             ,           ,          ,   ,               ,
6882,DMS0206448_ModeCntlStatus1_auto    ,StateQ            ,4,             ,              ,1836265,              ,             ,           ,          ,   ,               ,
6883,DMS0206448_ModeCntlStatus2_rem     ,StateQ            ,4,             ,              ,1836266,              ,             ,           ,          ,   ,               ,
6884,DMS0206448_ModeCntlStatus3_scada   ,StateQ            ,4,             ,              ,1836267,              ,             ,           ,          ,   ,               ,
6885,DMS0206448_ModeStatus              ,DiscreteQ         ,4,             ,              ,1836268,              ,             ,           ,          ,   ,               ,
6886,DMS0206448_OperationalStatus       ,DiscreteQ         ,4,             ,              ,1836275,              ,             ,           ,          ,   ,               ,
6887,DMS0206448_RemoteHours             ,RealQ             ,4,             ,              ,              ,1001759,             ,           ,          ,   ,               ,
6888,DMS0206448_Size                    ,RealQ             ,4,             ,              ,              ,1001761,             ,           ,          ,   ,               ,
6889,DMS0206448_Volts                   ,RealQ             ,4,             ,              ,              ,1001765,             ,           ,          ,   ,               ,
26637,DMS_ELAKE_CELLO_MVAR               ,RealQ             ,1,             ,25,              ,214030,             ,           ,          ,   ,               ,
26638,DMS_ELAKE_CLARINET_MVAR            ,RealQ             ,1,             ,25,              ,214056,             ,           ,          ,   ,               ,
26639,DMS_ELAKE_GUITAR_MVAR              ,RealQ             ,1,             ,25,              ,214046,             ,           ,          ,   ,               ,
26653,DMS_ELAKE_NO1_CAPS_CONT            ,StateQ            ,1,             ,25,260556,              ,             ,           ,          ,   ,               ,
26654,DMS_ELAKE_NO1_CAPS_LO_RSET         ,StateQ            ,1,             ,25,260555,              ,             ,           ,          ,   ,               ,
26655,DMS_ELAKE_NO1_CAPS_SW              ,StateQ            ,1,             ,25,260554,              ,             ,           ,          ,   ,               ,
26640,DMS_ELAKE_NO1_CAPS_VOLT            ,RealQ             ,1,             ,25,              ,214012,             ,           ,          ,   ,               ,
26656,DMS_ELAKE_NO2_CAPS_CONT            ,StateQ            ,1,             ,25,260560,              ,             ,           ,          ,   ,               ,
26657,DMS_ELAKE_NO2_CAPS_LO_RSET         ,StateQ            ,1,             ,25,260559,              ,             ,           ,          ,   ,               ,
26658,DMS_ELAKE_NO2_CAPS_SW              ,StateQ            ,1,             ,25,260558,              ,             ,           ,          ,   ,               ,
26641,DMS_ELAKE_NO2_CAPS_VOLT            ,RealQ             ,1,             ,25,              ,214016,             ,           ,          ,   ,               ,
26642,DMS_ELAKE_NO3_BK_KV_BC             ,RealQ             ,1,             ,25,              ,213991,             ,           ,          ,   ,               ,
26643,DMS_ELAKE_NO3_BK_MVAR              ,RealQ             ,1,             ,25,              ,213989,             ,           ,          ,   ,               ,
26644,DMS_ELAKE_NO3_BK_MW                ,RealQ             ,1,             ,25,              ,213988,             ,           ,          ,   ,               ,
26659,DMS_ELAKE_NO3_CAPS_CONT            ,StateQ            ,1,             ,25,260564,              ,             ,           ,          ,   ,               ,
26660,DMS_ELAKE_NO3_CAPS_LO_RSET         ,StateQ            ,1,             ,25,260563,              ,             ,           ,          ,   ,               ,
26661,DMS_ELAKE_NO3_CAPS_SW              ,StateQ            ,1,             ,25,260562,              ,             ,           ,          ,   ,               ,
26645,DMS_ELAKE_NO3_CAPS_VOLT            ,RealQ             ,1,             ,25,              ,214020,             ,           ,          ,   ,               ,
26646,DMS_ELAKE_NO4_BK_KV_BC             ,RealQ             ,1,             ,25,              ,214002,             ,           ,          ,   ,               ,
26647,DMS_ELAKE_NO4_BK_MVAR              ,RealQ             ,1,             ,25,              ,214000,             ,           ,          ,   ,               ,
26648,DMS_ELAKE_NO4_BK_MW                ,RealQ             ,1,             ,25,              ,213999,             ,           ,          ,   ,               ,
26649,DMS_ELAKE_OBOE_MVAR                ,RealQ             ,1,             ,25,              ,1489,             ,           ,          ,   ,               ,
26650,DMS_ELAKE_TAMBOURINE_MVAR          ,RealQ             ,1,             ,25,              ,214025,             ,           ,          ,   ,               ,
26651,DMS_ELAKE_TRUMPET_MVAR             ,RealQ             ,1,             ,25,              ,214051,             ,           ,          ,   ,               ,
26652,DMS_ELAKE_TUBA_MVAR                ,RealQ             ,1,             ,25,              ,214035,             ,           ,          ,   ,               ,
