ObjectName,ObjectType,InterpretationTable,SeqOfEvents,ServerControlCenterRef,DomainNameRef,DataSetNameRef,StatusPointRef,AnalogPointRef,AccumPointRef,CmePointRef,ClientControlCenterRef,
DMS_ALDER_NO1_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241922,NULL,NULL,NULL,NULL,
DMS_ALDER_NO1_CAPS_SW,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241921,NULL,NULL,NULL,NULL,
DMS_ALDER_NO2_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197665,NULL,NULL,NULL,
DMS_ALDER_NO2_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197663,NULL,NULL,NULL,
DMS_ALDER_NO2_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197662,NULL,NULL,NULL,
DMS_ALDER_NO2_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241930,NULL,NULL,NULL,NULL,
DMS_ALDER_NO2_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197696,NULL,NULL,NULL,
DMS_ALDER_NO2_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241929,NULL,NULL,NULL,NULL,
DMS_ALDER_NO2_CAPS_SW,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241928,NULL,NULL,NULL,NULL,
DMS_ALDER_NO3_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,208138,NULL,NULL,NULL,
DMS_ALDER_NO3_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,208136,NULL,NULL,NULL,
DMS_ALDER_NO3_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,208135,NULL,NULL,NULL,
DMS_ALDER_NO3_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,44243,NULL,NULL,NULL,NULL,
DMS_ALDER_NO3_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,208152,NULL,NULL,NULL,
DMS_ALDER_NO3_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,44242,NULL,NULL,NULL,NULL,
DMS_ALDER_NO3_CAPS_SW,StateQ,NULL,NULL,SCEOIS,NULL,NULL,44241,NULL,NULL,NULL,NULL,
DMS_ALDER_NO4_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241937,NULL,NULL,NULL,NULL,
DMS_ALDER_NO4_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197700,NULL,NULL,NULL,
DMS_ALDER_NO4_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241936,NULL,NULL,NULL,NULL,
DMS_ALDER_NO4_CAPS_SW,StateQ,NULL,NULL,SCEOIS,NULL,NULL,241935,NULL,NULL,NULL,NULL,
DMS_ALDER_SCHOLL_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197710,NULL,NULL,NULL,
DMS_ALDER_SUSAN_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197751,NULL,NULL,NULL,
DMS_ALDER_TAMARIND_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197715,NULL,NULL,NULL,
DMS_ALDER_TRAPP_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,242015,NULL,NULL,NULL,NULL,
DMS_ALDER_TRAPP_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,197756,NULL,NULL,NULL,
DMS_ALDER_TRAPP_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,242016,NULL,NULL,NULL,NULL,
